LoanID,PropertyType,PropertyValue,LTV,LTV_Band,PropertyState,AppraisalDate,AppraiserID,ZestimateValue
LN-00041,Condo,393000.0,0.9,High (>85%),TX,2020-10-07,AP-54,405000.0
LN-00042,Single Family,207000.0,0.83,Medium (70-85%),NJ,2019-07-31,AP-79,212000.0
LN-00043,Single Family,298000.0,0.62,Low (<70%),CA,2018-03-28,AP-42,304000.0
LN-00044,Multi-Family,435000.0,0.85,Medium (70-85%),CA,2022-04-25,AP-76,435000.0
LN-00045,Multi-Family,828000.0,0.9,High (>85%),IL,2018-02-27,AP-63,856000.0
LN-00046,Condo,928000.0,0.85,Medium (70-85%),FL,2020-11-15,AP-19,906000.0
LN-00047,Single Family,301000.0,0.87,High (>85%),FL,2022-12-31,AP-19,304000.0
LN-00048,Condo,667000.0,0.61,Low (<70%),MD,2018-07-17,AP-82,667000.0
LN-00049,Single Family,994000.0,0.89,High (>85%),MD,2018-03-20,AP-97,1017000.0
LN-00050,Single Family,355000.0,0.84,Medium (70-85%),GA,2022-09-02,AP-90,357000.0
LN-00051,Multi-Family,269000.0,0.65,Low (<70%),NJ,2019-11-23,AP-64,271000.0
LN-00052,Single Family,842000.0,0.62,Low (<70%),FL,2020-01-07,AP-65,850000.0
LN-00053,Condo,918000.0,0.68,Low (<70%),NY,2021-02-24,AP-29,961000.0
LN-00054,Townhouse,615000.0,0.87,High (>85%),PA,2022-03-02,AP-40,605000.0
LN-00055,Condo,725000.0,0.73,Medium (70-85%),AZ,2020-12-24,AP-57,759000.0
LN-00056,Multi-Family,266000.0,0.96,High (>85%),MA,2019-09-19,AP-41,278000.0
LN-00057,Multi-Family,975000.0,0.77,Medium (70-85%),OH,2021-05-02,AP-62,967000.0
LN-00058,Condo,1478000.0,0.6,Low (<70%),NY,2018-08-31,AP-53,1503000.0
LN-00059,Condo,368000.0,0.76,Medium (70-85%),MA,2017-12-10,AP-29,364000.0
LN-00060,Townhouse,1274000.0,0.58,Low (<70%),NC,2023-01-17,AP-39,1280000.0
LN-00061,Condo,1100000.0,0.67,Low (<70%),TX,2024-02-01,AP-50,1129000.0
LN-00062,Single Family,1248000.0,0.66,Low (<70%),GA,2019-08-10,AP-92,1283000.0
LN-00063,Multi-Family,854000.0,0.9,High (>85%),GA,2023-08-14,AP-89,850000.0
LN-00064,Single Family,413000.0,0.76,Medium (70-85%),PA,2021-05-29,AP-58,417000.0
LN-00065,Single Family,914000.0,0.71,Medium (70-85%),AZ,2018-07-05,AP-59,934000.0
LN-00066,Single Family,321000.0,0.78,Medium (70-85%),GA,2018-01-29,AP-57,321000.0
LN-00067,Townhouse,353000.0,0.92,High (>85%),OH,2022-08-01,AP-32,349000.0
LN-00068,Single Family,621000.0,0.77,Medium (70-85%),MI,2022-05-29,AP-15,635000.0
LN-00069,Multi-Family,1421000.0,0.58,Low (<70%),MA,2018-02-22,AP-10,1485000.0
LN-00070,Multi-Family,444000.0,0.66,Low (<70%),PA,2022-11-11,AP-95,446000.0
LN-00071,Condo,230000.0,0.64,Low (<70%),MD,2023-11-23,AP-34,236000.0
LN-00072,Multi-Family,1096000.0,0.56,Low (<70%),NJ,2020-08-19,AP-71,1147000.0
LN-00073,Multi-Family,793000.0,0.59,Low (<70%),MD,2020-04-05,AP-61,781000.0
LN-00074,Single Family,696000.0,0.83,Medium (70-85%),MD,2019-02-22,AP-45,712000.0
LN-00075,Single Family,1138000.0,0.74,Medium (70-85%),NV,2022-01-18,AP-29,1193000.0
LN-00076,Townhouse,792000.0,0.75,Medium (70-85%),MD,2021-02-19,AP-96,827000.0
LN-00077,Multi-Family,451000.0,0.81,Medium (70-85%),CA,2022-01-25,AP-45,447000.0
LN-00078,Condo,204000.0,0.82,Medium (70-85%),OH,2023-01-03,AP-48,210000.0
LN-00079,Townhouse,510000.0,0.59,Low (<70%),IL,2023-10-21,AP-83,514000.0
LN-00080,Multi-Family,1010000.0,0.77,Medium (70-85%),MI,2018-10-14,AP-80,998000.0
LN-00081,Multi-Family,885000.0,0.71,Medium (70-85%),MD,2023-04-29,AP-74,873000.0
LN-00082,Condo,336000.0,0.87,High (>85%),MD,2020-12-30,AP-18,349000.0
LN-00083,Multi-Family,617000.0,0.78,Medium (70-85%),MA,2023-03-29,AP-57,600000.0
LN-00084,Townhouse,359000.0,0.73,Medium (70-85%),AZ,2021-03-16,AP-84,360000.0
LN-00085,Multi-Family,650000.0,0.66,Low (<70%),NY,2021-06-22,AP-62,667000.0
LN-00086,Condo,208000.0,0.86,High (>85%),IL,2019-02-12,AP-70,213000.0
LN-00087,Condo,349000.0,0.88,High (>85%),CA,2023-10-12,AP-88,363000.0
LN-00088,Single Family,488000.0,0.77,Medium (70-85%),NV,2023-11-15,AP-84,511000.0
LN-00089,Condo,1472000.0,0.58,Low (<70%),NV,2023-04-05,AP-33,1512000.0
LN-00090,Condo,496000.0,0.89,High (>85%),OH,2018-05-09,AP-96,504000.0
LN-00091,Single Family,176000.0,0.8,Medium (70-85%),OH,2018-05-25,AP-75,176000.0
LN-00092,Condo,813000.0,0.87,High (>85%),CA,2020-04-20,AP-71,821000.0
LN-00093,Multi-Family,751000.0,0.75,Medium (70-85%),NJ,2024-04-16,AP-94,777000.0
LN-00094,Condo,319000.0,0.93,High (>85%),MD,2020-06-12,AP-69,312000.0
LN-00095,Townhouse,838000.0,0.77,Medium (70-85%),CA,2018-02-24,AP-49,873000.0
LN-00096,Multi-Family,361000.0,0.75,Medium (70-85%),OH,2020-01-25,AP-85,350000.0
LN-00097,Condo,824000.0,0.92,High (>85%),IL,2019-08-19,AP-86,842000.0
LN-00098,Multi-Family,470000.0,0.7,Low (<70%),IL,2020-11-23,AP-51,459000.0
LN-00099,Multi-Family,1348000.0,0.6,Low (<70%),AZ,2020-08-10,AP-81,1335000.0
LN-00100,Multi-Family,139000.0,0.7,Low (<70%),MD,2020-11-23,AP-63,136000.0
LN-00101,Townhouse,1340000.0,0.62,Low (<70%),AZ,2022-10-18,AP-22,1329000.0
LN-00102,Single Family,368000.0,0.96,High (>85%),NC,2019-09-21,AP-76,376000.0
LN-00103,Multi-Family,805000.0,0.66,Low (<70%),OH,2021-04-28,AP-70,786000.0
LN-00104,Condo,1303000.0,0.58,Low (<70%),AZ,2024-01-02,AP-70,1344000.0
LN-00105,Single Family,921000.0,0.76,Medium (70-85%),NC,2018-06-23,AP-27,936000.0
LN-00106,Multi-Family,681000.0,0.7,Low (<70%),PA,2020-07-18,AP-83,701000.0
LN-00107,Multi-Family,252000.0,0.62,Low (<70%),CA,2019-03-06,AP-44,251000.0
LN-00108,Multi-Family,1044000.0,0.64,Low (<70%),FL,2020-11-16,AP-67,1043000.0
LN-00109,Single Family,262000.0,0.76,Medium (70-85%),MA,2023-08-01,AP-88,262000.0
LN-00110,Townhouse,867000.0,0.84,Medium (70-85%),MD,2023-07-02,AP-85,861000.0
LN-00111,Multi-Family,579000.0,0.96,High (>85%),FL,2019-07-11,AP-69,596000.0
LN-00112,Multi-Family,701000.0,0.75,Medium (70-85%),CA,2021-06-27,AP-96,693000.0
LN-00113,Condo,942000.0,0.76,Medium (70-85%),NJ,2023-03-11,AP-62,939000.0
LN-00114,Condo,167000.0,0.66,Low (<70%),GA,2021-07-29,AP-62,171000.0
LN-00115,Townhouse,106000.0,0.88,High (>85%),IL,2019-07-24,AP-92,104000.0
LN-00116,Multi-Family,639000.0,0.96,High (>85%),TX,2023-09-29,AP-71,666000.0
LN-00117,Single Family,127000.0,0.86,High (>85%),NC,2021-01-16,AP-78,124000.0
LN-00118,Single Family,677000.0,0.97,High (>85%),MD,2019-09-12,AP-74,698000.0
LN-00119,Multi-Family,401000.0,0.8,Medium (70-85%),GA,2019-06-08,AP-64,409000.0
LN-00120,Condo,179000.0,0.81,Medium (70-85%),MA,2020-07-15,AP-69,176000.0
LN-00121,Condo,586000.0,0.78,Medium (70-85%),NJ,2023-01-24,AP-95,608000.0
LN-00122,Townhouse,1459000.0,0.61,Low (<70%),NC,2022-08-28,AP-83,1530000.0
LN-00123,Multi-Family,608000.0,0.65,Low (<70%),NV,2020-06-29,AP-91,629000.0
LN-00124,Single Family,511000.0,0.63,Low (<70%),IL,2022-03-14,AP-36,503000.0
LN-00125,Multi-Family,1155000.0,0.71,Medium (70-85%),TX,2020-05-24,AP-70,1199000.0
LN-00126,Condo,826000.0,0.77,Medium (70-85%),IL,2019-04-21,AP-16,842000.0
LN-00127,Multi-Family,451000.0,0.84,Medium (70-85%),NV,2021-02-14,AP-24,473000.0
LN-00128,Multi-Family,574000.0,0.91,High (>85%),OH,2023-10-09,AP-46,602000.0
LN-00129,Condo,1350000.0,0.56,Low (<70%),MI,2021-03-08,AP-21,1373000.0
LN-00130,Multi-Family,225000.0,0.63,Low (<70%),AZ,2020-04-30,AP-87,235000.0
LN-00131,Condo,1174000.0,0.62,Low (<70%),MD,2023-10-21,AP-21,1181000.0
LN-00132,Multi-Family,857000.0,0.88,High (>85%),NJ,2019-01-10,AP-88,875000.0
LN-00133,Townhouse,562000.0,0.96,High (>85%),TX,2020-05-01,AP-83,551000.0
LN-00134,Single Family,298000.0,0.59,Low (<70%),AZ,2018-04-25,AP-60,291000.0
LN-00135,Single Family,695000.0,0.75,Medium (70-85%),NY,2021-12-13,AP-19,675000.0
LN-00136,Single Family,771000.0,0.8,Medium (70-85%),MA,2022-06-01,AP-27,756000.0
LN-00137,Multi-Family,530000.0,0.84,Medium (70-85%),IL,2021-12-26,AP-58,546000.0
LN-00138,Multi-Family,443000.0,0.69,Low (<70%),NY,2022-12-07,AP-44,444000.0
LN-00139,Condo,209000.0,0.58,Low (<70%),IL,2019-04-23,AP-73,205000.0
LN-00140,Townhouse,443000.0,0.58,Low (<70%),TX,2021-07-14,AP-88,452000.0
LN-00141,Multi-Family,623000.0,0.84,Medium (70-85%),NJ,2019-01-11,AP-15,624000.0
LN-00142,Multi-Family,808000.0,0.9,High (>85%),PA,2018-01-30,AP-98,791000.0
LN-00143,Townhouse,1171000.0,0.59,Low (<70%),PA,2021-11-04,AP-83,1171000.0
LN-00144,Single Family,912000.0,0.64,Low (<70%),NY,2023-10-02,AP-88,925000.0
LN-00145,Condo,524000.0,0.82,Medium (70-85%),OH,2022-10-15,AP-90,534000.0
LN-00146,Condo,247000.0,0.74,Medium (70-85%),AZ,2023-12-11,AP-53,243000.0
LN-00147,Townhouse,773000.0,0.64,Low (<70%),IL,2019-02-17,AP-22,762000.0
LN-00148,Multi-Family,493000.0,0.85,Medium (70-85%),NY,2022-04-04,AP-43,496000.0
LN-00149,Multi-Family,336000.0,0.86,High (>85%),TX,2023-03-20,AP-77,332000.0
LN-00150,Condo,927000.0,0.74,Medium (70-85%),AZ,2024-01-06,AP-10,959000.0
LN-00151,Townhouse,936000.0,0.85,Medium (70-85%),FL,2022-07-02,AP-94,924000.0
LN-00152,Single Family,196000.0,0.84,Medium (70-85%),NV,2019-07-09,AP-17,205000.0
LN-00153,Multi-Family,908000.0,0.59,Low (<70%),MI,2021-01-03,AP-54,900000.0
LN-00154,Multi-Family,782000.0,0.96,High (>85%),IL,2024-01-05,AP-69,817000.0
LN-00155,Condo,1282000.0,0.55,Low (<70%),NC,2021-09-15,AP-40,1334000.0
LN-00156,Multi-Family,983000.0,0.7,Low (<70%),FL,2018-11-21,AP-16,989000.0
LN-00157,Multi-Family,303000.0,0.69,Low (<70%),GA,2021-07-06,AP-10,298000.0
LN-00158,Condo,707000.0,0.83,Medium (70-85%),OH,2020-11-12,AP-94,719000.0
LN-00159,Townhouse,320000.0,0.95,High (>85%),PA,2019-02-22,AP-26,314000.0
LN-00160,Condo,774000.0,0.81,Medium (70-85%),OH,2022-04-05,AP-45,762000.0
LN-00161,Single Family,452000.0,0.56,Low (<70%),NV,2020-08-17,AP-15,475000.0
LN-00162,Multi-Family,264000.0,0.85,Medium (70-85%),MI,2020-05-30,AP-64,276000.0
LN-00163,Condo,155000.0,0.74,Medium (70-85%),PA,2018-09-10,AP-50,157000.0
LN-00164,Townhouse,661000.0,0.64,Low (<70%),NV,2018-01-16,AP-75,669000.0
LN-00165,Multi-Family,741000.0,0.87,High (>85%),MA,2022-08-29,AP-79,771000.0
LN-00166,Single Family,171000.0,0.84,Medium (70-85%),MA,2021-09-14,AP-81,174000.0
LN-00167,Condo,725000.0,0.71,Medium (70-85%),MD,2021-09-06,AP-66,710000.0
LN-00168,Single Family,255000.0,0.95,High (>85%),NV,2018-09-16,AP-74,262000.0
LN-00169,Multi-Family,659000.0,0.68,Low (<70%),MI,2024-03-17,AP-79,642000.0
LN-00170,Townhouse,151000.0,0.9,High (>85%),AZ,2021-04-02,AP-19,152000.0
LN-00171,Condo,706000.0,0.65,Low (<70%),NV,2021-12-14,AP-91,737000.0
LN-00172,Single Family,800000.0,0.62,Low (<70%),FL,2024-01-17,AP-77,801000.0
LN-00173,Single Family,521000.0,0.66,Low (<70%),OH,2019-07-29,AP-22,509000.0
LN-00174,Condo,196000.0,0.76,Medium (70-85%),OH,2018-03-27,AP-77,201000.0
LN-00175,Single Family,304000.0,0.69,Low (<70%),PA,2021-01-20,AP-91,314000.0
LN-00176,Multi-Family,841000.0,0.71,Medium (70-85%),NV,2021-07-03,AP-53,870000.0
LN-00177,Multi-Family,896000.0,0.69,Low (<70%),OH,2019-07-05,AP-26,884000.0
LN-00178,Single Family,751000.0,0.87,High (>85%),IL,2018-09-22,AP-88,730000.0
LN-00179,Townhouse,874000.0,0.72,Medium (70-85%),TX,2023-09-01,AP-27,857000.0
LN-00180,Townhouse,427000.0,0.78,Medium (70-85%),NY,2021-08-07,AP-26,446000.0
LN-00181,Townhouse,323000.0,0.64,Low (<70%),AZ,2018-12-21,AP-90,328000.0
LN-00182,Multi-Family,839000.0,0.7,Low (<70%),MI,2019-08-22,AP-42,874000.0
LN-00183,Multi-Family,421000.0,0.9,High (>85%),CA,2022-10-19,AP-29,413000.0
LN-00184,Townhouse,1077000.0,0.81,Medium (70-85%),GA,2019-12-19,AP-89,1101000.0
LN-00185,Multi-Family,794000.0,0.62,Low (<70%),NV,2019-09-26,AP-74,792000.0
LN-00186,Townhouse,600000.0,0.79,Medium (70-85%),GA,2019-01-16,AP-54,624000.0
LN-00187,Single Family,338000.0,0.9,High (>85%),NV,2019-07-14,AP-85,346000.0
LN-00188,Condo,1016000.0,0.83,Medium (70-85%),NC,2022-04-29,AP-82,1024000.0
LN-00189,Single Family,108000.0,0.95,High (>85%),OH,2021-07-31,AP-48,105000.0
LN-00190,Townhouse,741000.0,0.63,Low (<70%),NC,2023-02-26,AP-74,721000.0
LN-00191,Townhouse,1275000.0,0.6,Low (<70%),OH,2023-09-12,AP-41,1334000.0
LN-00192,Single Family,400000.0,0.69,Low (<70%),MD,2022-11-29,AP-60,409000.0
LN-00193,Multi-Family,689000.0,0.73,Medium (70-85%),IL,2019-06-16,AP-15,713000.0
LN-00194,Condo,563000.0,0.75,Medium (70-85%),MI,2018-11-10,AP-94,583000.0
LN-00195,Multi-Family,763000.0,0.95,High (>85%),GA,2018-02-22,AP-90,747000.0
LN-00196,Condo,327000.0,0.88,High (>85%),NC,2018-08-21,AP-66,334000.0
LN-00197,Condo,425000.0,0.83,Medium (70-85%),NJ,2023-11-22,AP-64,444000.0
LN-00198,Townhouse,761000.0,0.62,Low (<70%),MA,2019-05-18,AP-37,749000.0
LN-00199,Townhouse,1257000.0,0.58,Low (<70%),MA,2021-04-17,AP-46,1248000.0
LN-00200,Multi-Family,124000.0,0.89,High (>85%),NJ,2021-01-21,AP-29,121000.0
LN-00201,Condo,1246000.0,0.59,Low (<70%),NY,2022-05-16,AP-56,1257000.0
LN-00202,Townhouse,548000.0,0.89,High (>85%),FL,2023-09-15,AP-99,568000.0
LN-00203,Condo,638000.0,0.9,High (>85%),OH,2024-01-12,AP-14,664000.0
LN-00204,Townhouse,552000.0,0.6,Low (<70%),GA,2022-08-13,AP-24,563000.0
LN-00205,Multi-Family,1391000.0,0.57,Low (<70%),NV,2022-09-21,AP-59,1354000.0
LN-00206,Condo,1208000.0,0.61,Low (<70%),NC,2018-02-20,AP-24,1237000.0
LN-00207,Condo,886000.0,0.81,Medium (70-85%),MD,2022-02-19,AP-60,884000.0
LN-00208,Multi-Family,964000.0,0.89,High (>85%),CA,2018-09-21,AP-88,954000.0
LN-00209,Townhouse,331000.0,0.86,High (>85%),PA,2019-12-23,AP-73,327000.0
LN-00210,Condo,302000.0,0.97,High (>85%),CA,2021-02-11,AP-82,298000.0
LN-00211,Multi-Family,256000.0,0.55,Low (<70%),MI,2022-11-11,AP-21,262000.0
LN-00212,Single Family,900000.0,0.59,Low (<70%),MA,2021-03-19,AP-76,900000.0
LN-00213,Single Family,196000.0,0.92,High (>85%),PA,2019-05-05,AP-47,200000.0
LN-00214,Condo,440000.0,0.87,High (>85%),GA,2024-02-07,AP-76,429000.0
LN-00215,Multi-Family,795000.0,0.84,Medium (70-85%),CA,2022-06-30,AP-49,791000.0
LN-00216,Multi-Family,488000.0,0.92,High (>85%),TX,2021-08-24,AP-23,493000.0
LN-00217,Condo,1313000.0,0.63,Low (<70%),MD,2019-03-20,AP-20,1310000.0
LN-00218,Multi-Family,788000.0,0.84,Medium (70-85%),PA,2023-08-03,AP-72,827000.0
LN-00219,Single Family,902000.0,0.59,Low (<70%),FL,2021-04-17,AP-33,894000.0
LN-00220,Multi-Family,618000.0,0.9,High (>85%),FL,2021-07-22,AP-66,603000.0
LN-00221,Multi-Family,1046000.0,0.82,Medium (70-85%),MD,2020-11-02,AP-34,1086000.0
LN-00222,Single Family,837000.0,0.71,Medium (70-85%),GA,2021-03-19,AP-99,848000.0
LN-00223,Condo,222000.0,0.58,Low (<70%),IL,2023-04-29,AP-82,226000.0
LN-00224,Townhouse,704000.0,0.95,High (>85%),OH,2021-10-04,AP-27,706000.0
LN-00225,Single Family,209000.0,0.8,Medium (70-85%),MD,2019-04-11,AP-34,206000.0
LN-00226,Multi-Family,910000.0,0.94,High (>85%),TX,2022-07-20,AP-72,902000.0
LN-00227,Multi-Family,692000.0,0.97,High (>85%),MA,2019-08-13,AP-16,686000.0
LN-00228,Townhouse,244000.0,0.63,Low (<70%),PA,2022-12-08,AP-91,242000.0
LN-00229,Condo,327000.0,0.95,High (>85%),PA,2023-01-30,AP-84,323000.0
LN-00230,Single Family,1462000.0,0.55,Low (<70%),IL,2022-05-03,AP-69,1439000.0
LN-00231,Single Family,685000.0,0.55,Low (<70%),AZ,2022-02-07,AP-20,672000.0
LN-00232,Condo,239000.0,0.74,Medium (70-85%),FL,2022-04-02,AP-15,238000.0
LN-00233,Condo,328000.0,0.74,Medium (70-85%),TX,2023-05-23,AP-75,344000.0
LN-00234,Multi-Family,904000.0,0.56,Low (<70%),CA,2023-08-20,AP-55,907000.0
LN-00235,Multi-Family,915000.0,0.75,Medium (70-85%),TX,2021-08-19,AP-47,902000.0
LN-00236,Multi-Family,1152000.0,0.65,Low (<70%),NY,2019-01-29,AP-27,1187000.0
LN-00237,Condo,397000.0,0.75,Medium (70-85%),OH,2024-05-08,AP-45,408000.0
LN-00238,Multi-Family,864000.0,0.69,Low (<70%),NY,2022-01-17,AP-47,900000.0
LN-00239,Townhouse,215000.0,0.79,Medium (70-85%),FL,2021-05-29,AP-18,209000.0
LN-00240,Townhouse,929000.0,0.77,Medium (70-85%),AZ,2018-08-02,AP-17,941000.0
LN-00241,Single Family,492000.0,0.96,High (>85%),IL,2019-09-29,AP-18,503000.0
LN-00242,Townhouse,1027000.0,0.77,Medium (70-85%),GA,2020-10-26,AP-35,1041000.0
LN-00243,Multi-Family,377000.0,0.7,Low (<70%),NV,2021-03-08,AP-76,382000.0
LN-00244,Condo,426000.0,0.86,High (>85%),NJ,2020-12-19,AP-40,434000.0
LN-00245,Condo,779000.0,0.95,High (>85%),CA,2021-02-01,AP-24,811000.0
LN-00246,Townhouse,815000.0,0.85,Medium (70-85%),TX,2023-11-09,AP-63,792000.0
LN-00247,Condo,837000.0,0.67,Low (<70%),IL,2023-10-03,AP-54,859000.0
LN-00248,Townhouse,1132000.0,0.59,Low (<70%),MD,2019-04-26,AP-20,1152000.0
LN-00249,Multi-Family,364000.0,0.67,Low (<70%),CA,2021-06-22,AP-74,379000.0
LN-00250,Multi-Family,314000.0,0.86,High (>85%),TX,2018-04-29,AP-40,317000.0
LN-00251,Single Family,153000.0,0.72,Medium (70-85%),NJ,2023-06-17,AP-32,155000.0
LN-00252,Multi-Family,867000.0,0.63,Low (<70%),TX,2021-07-24,AP-45,897000.0
LN-00253,Townhouse,283000.0,0.84,Medium (70-85%),NJ,2019-09-08,AP-63,285000.0
LN-00254,Multi-Family,524000.0,0.68,Low (<70%),NV,2019-12-09,AP-37,525000.0
LN-00255,Condo,236000.0,0.64,Low (<70%),MI,2019-10-31,AP-51,242000.0
LN-00256,Multi-Family,617000.0,0.64,Low (<70%),PA,2020-10-16,AP-67,622000.0
LN-00257,Townhouse,662000.0,0.93,High (>85%),NV,2018-08-06,AP-94,681000.0
LN-00258,Condo,769000.0,0.64,Low (<70%),NC,2021-05-20,AP-60,769000.0
LN-00259,Multi-Family,1491000.0,0.58,Low (<70%),FL,2023-01-03,AP-75,1504000.0
LN-00260,Townhouse,779000.0,0.9,High (>85%),GA,2020-03-28,AP-69,788000.0
LN-00261,Townhouse,618000.0,0.61,Low (<70%),AZ,2019-02-14,AP-76,643000.0
LN-00262,Condo,513000.0,0.68,Low (<70%),NY,2019-02-27,AP-18,517000.0
LN-00263,Single Family,140000.0,0.9,High (>85%),FL,2022-06-17,AP-42,138000.0
LN-00264,Single Family,584000.0,0.57,Low (<70%),MA,2020-08-22,AP-39,600000.0
LN-00265,Condo,412000.0,0.88,High (>85%),NC,2018-07-08,AP-58,402000.0
LN-00266,Multi-Family,275000.0,0.83,Medium (70-85%),PA,2022-08-05,AP-35,287000.0
LN-00267,Single Family,681000.0,0.94,High (>85%),GA,2023-10-30,AP-75,694000.0
LN-00268,Townhouse,638000.0,0.63,Low (<70%),TX,2020-05-07,AP-90,649000.0
LN-00269,Condo,566000.0,0.93,High (>85%),PA,2020-05-09,AP-84,575000.0
LN-00270,Townhouse,985000.0,0.81,Medium (70-85%),MA,2018-02-25,AP-67,1014000.0
LN-00271,Townhouse,241000.0,0.56,Low (<70%),OH,2022-10-09,AP-44,240000.0
LN-00272,Condo,349000.0,0.78,Medium (70-85%),CA,2018-06-18,AP-29,364000.0
LN-00273,Multi-Family,704000.0,0.81,Medium (70-85%),NY,2021-05-14,AP-29,712000.0
LN-00274,Townhouse,534000.0,0.61,Low (<70%),IL,2019-11-15,AP-41,519000.0
LN-00275,Single Family,517000.0,0.7,Low (<70%),FL,2022-01-27,AP-80,504000.0
LN-00276,Condo,562000.0,0.58,Low (<70%),FL,2023-12-13,AP-90,547000.0
LN-00277,Multi-Family,1431000.0,0.58,Low (<70%),MD,2022-07-24,AP-41,1452000.0
LN-00278,Single Family,566000.0,0.62,Low (<70%),NC,2022-11-04,AP-49,562000.0
LN-00279,Multi-Family,480000.0,0.81,Medium (70-85%),NC,2018-04-14,AP-91,478000.0
LN-00280,Townhouse,828000.0,0.65,Low (<70%),NJ,2021-08-01,AP-43,862000.0
LN-00281,Condo,255000.0,0.69,Low (<70%),MI,2023-02-26,AP-18,264000.0
LN-00282,Single Family,852000.0,0.84,Medium (70-85%),MA,2023-10-05,AP-50,887000.0
LN-00283,Multi-Family,707000.0,0.69,Low (<70%),MA,2023-01-16,AP-65,699000.0
LN-00284,Condo,150000.0,0.78,Medium (70-85%),CA,2019-07-18,AP-85,149000.0
LN-00285,Single Family,302000.0,0.89,High (>85%),MD,2020-08-09,AP-78,310000.0
LN-00286,Multi-Family,659000.0,0.92,High (>85%),NC,2019-10-19,AP-51,649000.0
