LoanID,BranchID,LoanType,LoanPurpose,EmploymentType,OriginationDate,MaturityDate,OriginationYear,OriginationQtr,LoanAmount,InterestRate,TermYears,LoanOfficerID
LN-00021,BR010,Fixed 30-Year,Purchase,Self-Employed,2023-10-21,2053-10-21,2023,Q4-2023,631000.0,5.3,30,LO-330
LN-00022,BR003,Fixed 30-Year,Purchase,Salaried,2020-06-21,2050-06-21,2020,Q2-2020,562000.0,4.52,30,LO-334
LN-00023,BR003,ARM 7/1,Purchase,Contract,2020-09-01,2035-09-01,2020,Q3-2020,785000.0,3.64,15,LO-319
LN-00024,BR018,Fixed 30-Year,Purchase,Contract,2023-04-21,2053-04-21,2023,Q2-2023,847000.0,6.39,30,LO-926
LN-00025,BR014,Fixed 30-Year,Purchase,Salaried,2022-10-01,2052-10-01,2022,Q4-2022,159000.0,5.62,30,LO-789
LN-00026,BR004,Fixed 30-Year,Purchase,Self-Employed,2019-03-24,2049-03-24,2019,Q1-2019,677000.0,7.65,30,LO-649
LN-00027,BR015,Fixed 30-Year,Purchase,Salaried,2018-11-05,2048-11-05,2018,Q4-2018,230000.0,5.79,30,LO-151
LN-00028,BR018,ARM 5/1,Purchase,Contract,2020-08-26,2035-08-26,2020,Q3-2020,875000.0,8.35,15,LO-592
LN-00029,BR007,ARM 5/1,Home Equity,Retired,2018-01-09,2033-01-09,2018,Q1-2018,820000.0,4.16,15,LO-902
LN-00030,BR015,Fixed 30-Year,Refinance,Contract,2024-03-26,2054-03-26,2024,Q1-2024,651000.0,7.27,30,LO-258
LN-00031,BR007,Fixed 30-Year,Purchase,Retired,2024-01-30,2054-01-30,2024,Q1-2024,874000.0,6.44,30,LO-158
LN-00032,BR002,Fixed 15-Year,Purchase,Salaried,2019-10-07,2034-10-07,2019,Q4-2019,492000.0,7.94,15,LO-971
LN-00033,BR006,Fixed 30-Year,Purchase,Self-Employed,2022-07-12,2052-07-12,2022,Q3-2022,136000.0,7.99,30,LO-692
LN-00034,BR020,Fixed 30-Year,Purchase,Retired,2024-05-04,2054-05-04,2024,Q2-2024,147000.0,6.87,30,LO-309
LN-00035,BR011,Fixed 30-Year,Purchase,Salaried,2021-05-13,2051-05-13,2021,Q2-2021,405000.0,6.94,30,LO-109
LN-00036,BR015,Fixed 15-Year,Purchase,Retired,2024-01-12,2039-01-12,2024,Q1-2024,542000.0,3.8,15,LO-235
LN-00037,BR012,ARM 5/1,Purchase,Retired,2019-10-09,2034-10-09,2019,Q4-2019,801000.0,5.28,15,LO-726
LN-00038,BR017,Fixed 30-Year,Home Equity,Self-Employed,2019-03-01,2049-03-01,2019,Q1-2019,750000.0,4.9,30,LO-370
LN-00039,BR004,ARM 5/1,Refinance,Retired,2021-02-28,2036-02-28,2021,Q1-2021,689000.0,4.1,15,LO-308
LN-00040,BR009,Fixed 15-Year,Purchase,Contract,2018-07-28,2033-07-28,2018,Q3-2018,286000.0,8.24,15,LO-949
LN-00041,BR009,Fixed 30-Year,Purchase,Contract,2020-12-08,2050-12-08,2020,Q4-2020,354000.0,3.97,30,LO-664
LN-00042,BR014,Fixed 15-Year,Purchase,Retired,2019-09-03,2034-09-03,2019,Q3-2019,172000.0,8.45,15,LO-696
LN-00043,BR018,Fixed 30-Year,Cash-Out Refinance,Self-Employed,2018-06-13,2048-06-13,2018,Q2-2018,185000.0,4.95,30,LO-798
LN-00044,BR008,Fixed 15-Year,Home Equity,Self-Employed,2022-07-23,2037-07-23,2022,Q3-2022,370000.0,6.33,15,LO-342
LN-00045,BR006,ARM 7/1,Purchase,Retired,2018-04-12,2033-04-12,2018,Q2-2018,745000.0,8.1,15,LO-901
LN-00046,BR014,ARM 5/1,Purchase,Salaried,2020-12-28,2035-12-28,2020,Q4-2020,789000.0,7.71,15,LO-491
LN-00047,BR002,ARM 5/1,Purchase,Self-Employed,2023-03-01,2038-03-01,2023,Q1-2023,262000.0,7.74,15,LO-328
LN-00048,BR001,Fixed 15-Year,Home Equity,Retired,2018-10-12,2033-10-12,2018,Q4-2018,407000.0,4.78,15,LO-459
LN-00049,BR017,Fixed 30-Year,Purchase,Retired,2018-04-24,2048-04-24,2018,Q2-2018,885000.0,6.2,30,LO-282
LN-00050,BR019,ARM 7/1,Purchase,Retired,2022-11-15,2037-11-15,2022,Q4-2022,298000.0,3.85,15,LO-546
LN-00051,BR020,ARM 7/1,Purchase,Contract,2020-02-18,2035-02-18,2020,Q1-2020,175000.0,8.2,15,LO-101
LN-00052,BR017,ARM 7/1,Purchase,Salaried,2020-03-18,2035-03-18,2020,Q1-2020,522000.0,7.21,15,LO-780
LN-00053,BR011,Fixed 15-Year,Purchase,Contract,2021-05-15,2036-05-15,2021,Q2-2021,624000.0,3.94,15,LO-434
LN-00054,BR013,Fixed 15-Year,Refinance,Self-Employed,2022-04-02,2037-04-02,2022,Q2-2022,535000.0,4.31,15,LO-730
LN-00055,BR019,Fixed 30-Year,Purchase,Retired,2021-03-21,2051-03-21,2021,Q1-2021,529000.0,3.25,30,LO-576
LN-00056,BR015,Fixed 30-Year,Refinance,Retired,2019-11-27,2049-11-27,2019,Q4-2019,255000.0,5.85,30,LO-627
LN-00057,BR020,Fixed 30-Year,Purchase,Self-Employed,2021-06-25,2051-06-25,2021,Q2-2021,751000.0,7.38,30,LO-250
LN-00058,BR001,Fixed 30-Year,Purchase,Self-Employed,2018-10-26,2048-10-26,2018,Q4-2018,887000.0,6.61,30,LO-835
LN-00059,BR013,Fixed 30-Year,Cash-Out Refinance,Salaried,2018-01-23,2048-01-23,2018,Q1-2018,280000.0,6.86,30,LO-897
LN-00060,BR014,Fixed 30-Year,Purchase,Self-Employed,2023-03-18,2053-03-18,2023,Q1-2023,739000.0,7.08,30,LO-968
LN-00061,BR004,Fixed 30-Year,Refinance,Contract,2024-04-08,2054-04-08,2024,Q2-2024,737000.0,6.92,30,LO-727
LN-00062,BR017,Fixed 30-Year,Refinance,Contract,2019-10-14,2049-10-14,2019,Q4-2019,824000.0,5.7,30,LO-560
LN-00063,BR009,ARM 5/1,Purchase,Self-Employed,2023-11-06,2038-11-06,2023,Q4-2023,769000.0,4.78,15,LO-381
LN-00064,BR015,Fixed 30-Year,Cash-Out Refinance,Salaried,2021-08-02,2051-08-02,2021,Q3-2021,314000.0,4.74,30,LO-241
LN-00065,BR005,Fixed 30-Year,Purchase,Retired,2018-09-21,2048-09-21,2018,Q3-2018,649000.0,7.14,30,LO-655
LN-00066,BR015,Fixed 30-Year,Cash-Out Refinance,Contract,2018-03-22,2048-03-22,2018,Q1-2018,250000.0,5.56,30,LO-588
LN-00067,BR001,ARM 7/1,Purchase,Self-Employed,2022-09-13,2037-09-13,2022,Q3-2022,325000.0,5.39,15,LO-599
LN-00068,BR008,Fixed 30-Year,Refinance,Contract,2022-07-15,2052-07-15,2022,Q3-2022,478000.0,5.39,30,LO-230
LN-00069,BR020,Fixed 15-Year,Purchase,Contract,2018-04-22,2033-04-22,2018,Q2-2018,824000.0,6.51,15,LO-238
LN-00070,BR015,Fixed 30-Year,Purchase,Contract,2023-02-06,2053-02-06,2023,Q1-2023,293000.0,5.05,30,LO-384
LN-00071,BR014,Fixed 30-Year,Purchase,Retired,2024-01-19,2054-01-19,2024,Q1-2024,147000.0,3.36,30,LO-329
LN-00072,BR003,ARM 5/1,Purchase,Salaried,2020-10-09,2035-10-09,2020,Q4-2020,614000.0,7.4,15,LO-736
LN-00073,BR005,Fixed 30-Year,Purchase,Retired,2020-06-11,2050-06-11,2020,Q2-2020,468000.0,3.88,30,LO-885
LN-00074,BR012,Fixed 30-Year,Refinance,Self-Employed,2019-04-15,2049-04-15,2019,Q2-2019,578000.0,7.36,30,LO-418
LN-00075,BR004,Fixed 15-Year,Purchase,Self-Employed,2022-03-18,2037-03-18,2022,Q1-2022,842000.0,6.42,15,LO-177
LN-00076,BR019,Fixed 15-Year,Cash-Out Refinance,Salaried,2021-05-20,2036-05-20,2021,Q2-2021,594000.0,3.81,15,LO-915
LN-00077,BR019,ARM 5/1,Purchase,Retired,2022-02-26,2037-02-26,2022,Q1-2022,365000.0,5.61,15,LO-112
LN-00078,BR014,ARM 5/1,Refinance,Contract,2023-02-27,2038-02-27,2023,Q1-2023,167000.0,8.53,15,LO-280
LN-00079,BR017,ARM 7/1,Refinance,Contract,2024-01-14,2039-01-14,2024,Q1-2024,301000.0,7.7,15,LO-546
LN-00080,BR019,Fixed 30-Year,Purchase,Contract,2018-12-21,2048-12-21,2018,Q4-2018,778000.0,7.82,30,LO-349
LN-00081,BR015,Fixed 15-Year,Cash-Out Refinance,Self-Employed,2023-07-18,2038-07-18,2023,Q3-2023,628000.0,5.1,15,LO-599
LN-00082,BR007,Fixed 30-Year,Refinance,Self-Employed,2021-02-05,2051-02-05,2021,Q1-2021,292000.0,4.79,30,LO-187
LN-00083,BR008,Fixed 15-Year,Refinance,Contract,2023-05-05,2038-05-05,2023,Q2-2023,481000.0,7.42,15,LO-558
LN-00084,BR001,Fixed 30-Year,Refinance,Retired,2021-06-08,2051-06-08,2021,Q2-2021,262000.0,7.05,30,LO-584
LN-00085,BR018,Fixed 15-Year,Purchase,Contract,2021-09-16,2036-09-16,2021,Q3-2021,429000.0,7.35,15,LO-377
LN-00086,BR010,Fixed 30-Year,Refinance,Self-Employed,2019-05-05,2049-05-05,2019,Q2-2019,179000.0,4.31,30,LO-296
LN-00087,BR007,Fixed 15-Year,Refinance,Salaried,2023-11-19,2038-11-19,2023,Q4-2023,307000.0,6.49,15,LO-952
LN-00088,BR007,Fixed 30-Year,Purchase,Salaried,2023-12-28,2053-12-28,2023,Q4-2023,376000.0,4.91,30,LO-155
LN-00089,BR018,Fixed 30-Year,Purchase,Salaried,2023-07-04,2053-07-04,2023,Q3-2023,854000.0,6.76,30,LO-687
LN-00090,BR010,Fixed 30-Year,Purchase,Contract,2018-07-30,2048-07-30,2018,Q3-2018,441000.0,4.26,30,LO-216
LN-00091,BR003,Fixed 30-Year,Purchase,Retired,2018-08-08,2048-08-08,2018,Q3-2018,141000.0,6.71,30,LO-187
LN-00092,BR008,Fixed 30-Year,Refinance,Contract,2020-07-13,2050-07-13,2020,Q3-2020,707000.0,6.58,30,LO-561
LN-00093,BR015,Fixed 30-Year,Refinance,Salaried,2024-05-18,2054-05-18,2024,Q2-2024,563000.0,5.61,30,LO-881
LN-00094,BR007,Fixed 15-Year,Purchase,Salaried,2020-09-09,2035-09-09,2020,Q3-2020,297000.0,3.7,15,LO-260
LN-00095,BR001,Fixed 30-Year,Purchase,Retired,2018-05-14,2048-05-14,2018,Q2-2018,645000.0,5.83,30,LO-819
LN-00096,BR015,Fixed 30-Year,Purchase,Self-Employed,2020-03-21,2050-03-21,2020,Q1-2020,271000.0,4.71,30,LO-763
LN-00097,BR005,ARM 7/1,Refinance,Retired,2019-11-11,2034-11-11,2019,Q4-2019,758000.0,3.64,15,LO-549
LN-00098,BR004,Fixed 30-Year,Purchase,Contract,2021-01-20,2051-01-20,2021,Q1-2021,329000.0,5.46,30,LO-548
LN-00099,BR003,Fixed 15-Year,Purchase,Self-Employed,2020-10-22,2035-10-22,2020,Q4-2020,809000.0,7.29,15,LO-790
LN-00100,BR019,Fixed 15-Year,Refinance,Self-Employed,2021-01-08,2036-01-08,2021,Q1-2021,97000.0,7.46,15,LO-581
LN-00101,BR017,Fixed 15-Year,Refinance,Contract,2022-11-21,2037-11-21,2022,Q4-2022,831000.0,4.25,15,LO-193
LN-00102,BR016,Fixed 30-Year,Purchase,Contract,2019-10-21,2049-10-21,2019,Q4-2019,353000.0,6.94,30,LO-395
LN-00103,BR013,ARM 5/1,Purchase,Salaried,2021-07-12,2036-07-12,2021,Q3-2021,531000.0,5.75,15,LO-891
LN-00104,BR013,ARM 5/1,Purchase,Salaried,2024-02-01,2039-02-01,2024,Q1-2024,756000.0,3.26,15,LO-292
LN-00105,BR017,Fixed 30-Year,Purchase,Self-Employed,2018-07-31,2048-07-31,2018,Q3-2018,700000.0,6.69,30,LO-394
LN-00106,BR015,ARM 5/1,Refinance,Retired,2020-09-07,2035-09-07,2020,Q3-2020,477000.0,3.41,15,LO-664
LN-00107,BR001,Fixed 15-Year,Purchase,Salaried,2019-04-10,2034-04-10,2019,Q2-2019,156000.0,8.71,15,LO-763
LN-00108,BR005,Fixed 30-Year,Purchase,Contract,2021-01-24,2051-01-24,2021,Q1-2021,668000.0,6.05,30,LO-583
LN-00109,BR008,Fixed 30-Year,Refinance,Self-Employed,2023-09-13,2053-09-13,2023,Q3-2023,199000.0,4.3,30,LO-984
LN-00110,BR003,Fixed 30-Year,Purchase,Salaried,2023-09-11,2053-09-11,2023,Q3-2023,728000.0,5.53,30,LO-389
LN-00111,BR010,ARM 5/1,Purchase,Contract,2019-09-01,2034-09-01,2019,Q3-2019,556000.0,6.88,15,LO-453
LN-00112,BR011,Fixed 15-Year,Cash-Out Refinance,Self-Employed,2021-08-11,2036-08-11,2021,Q3-2021,526000.0,5.75,15,LO-685
LN-00113,BR013,Fixed 30-Year,Refinance,Contract,2023-04-22,2053-04-22,2023,Q2-2023,716000.0,3.49,30,LO-495
LN-00114,BR005,Fixed 30-Year,Cash-Out Refinance,Contract,2021-09-21,2051-09-21,2021,Q3-2021,110000.0,6.01,30,LO-202
LN-00115,BR017,ARM 7/1,Purchase,Retired,2019-09-25,2034-09-25,2019,Q3-2019,93000.0,4.04,15,LO-446
LN-00116,BR020,Fixed 15-Year,Purchase,Retired,2023-12-26,2038-12-26,2023,Q4-2023,613000.0,7.93,15,LO-741
LN-00117,BR016,ARM 5/1,Home Equity,Salaried,2021-03-23,2036-03-23,2021,Q1-2021,109000.0,3.63,15,LO-544
LN-00118,BR004,ARM 5/1,Refinance,Salaried,2019-11-13,2034-11-13,2019,Q4-2019,657000.0,3.8,15,LO-147
LN-00119,BR011,ARM 5/1,Purchase,Contract,2019-08-20,2034-08-20,2019,Q3-2019,321000.0,5.31,15,LO-679
LN-00120,BR006,Fixed 30-Year,Purchase,Self-Employed,2020-09-13,2050-09-13,2020,Q3-2020,145000.0,8.04,30,LO-337
LN-00121,BR015,Fixed 15-Year,Cash-Out Refinance,Self-Employed,2023-03-21,2038-03-21,2023,Q1-2023,457000.0,6.92,15,LO-175
LN-00122,BR015,ARM 7/1,Refinance,Contract,2022-10-04,2037-10-04,2022,Q4-2022,890000.0,4.9,15,LO-965
LN-00123,BR010,Fixed 30-Year,Purchase,Retired,2020-08-29,2050-08-29,2020,Q3-2020,395000.0,5.91,30,LO-688
LN-00124,BR010,ARM 7/1,Purchase,Salaried,2022-06-10,2037-06-10,2022,Q2-2022,322000.0,8.63,15,LO-720
LN-00125,BR016,ARM 5/1,Refinance,Retired,2020-07-31,2035-07-31,2020,Q3-2020,820000.0,7.52,15,LO-324
LN-00126,BR007,Fixed 15-Year,Refinance,Salaried,2019-07-15,2034-07-15,2019,Q3-2019,636000.0,7.22,15,LO-416
LN-00127,BR015,Fixed 30-Year,Purchase,Contract,2021-04-23,2051-04-23,2021,Q2-2021,379000.0,3.97,30,LO-279
LN-00128,BR007,Fixed 30-Year,Purchase,Retired,2023-12-15,2053-12-15,2023,Q4-2023,522000.0,8.59,30,LO-950
LN-00129,BR006,Fixed 30-Year,Refinance,Retired,2021-04-23,2051-04-23,2021,Q2-2021,756000.0,5.9,30,LO-923
LN-00130,BR004,Fixed 30-Year,Cash-Out Refinance,Contract,2020-07-13,2050-07-13,2020,Q3-2020,142000.0,7.4,30,LO-966
LN-00131,BR018,Fixed 30-Year,Purchase,Retired,2024-01-07,2054-01-07,2024,Q1-2024,728000.0,3.33,30,LO-788
LN-00132,BR009,Fixed 15-Year,Refinance,Contract,2019-03-20,2034-03-20,2019,Q1-2019,754000.0,8.42,15,LO-125
LN-00133,BR020,ARM 5/1,Refinance,Contract,2020-06-25,2035-06-25,2020,Q2-2020,540000.0,8.28,15,LO-817
LN-00134,BR010,Fixed 15-Year,Purchase,Contract,2018-06-02,2033-06-02,2018,Q2-2018,176000.0,3.5,15,LO-218
LN-00135,BR004,Fixed 30-Year,Refinance,Contract,2022-02-28,2052-02-28,2022,Q1-2022,521000.0,5.39,30,LO-701
LN-00136,BR005,ARM 5/1,Home Equity,Retired,2022-07-30,2037-07-30,2022,Q3-2022,617000.0,7.84,15,LO-133
LN-00137,BR012,Fixed 30-Year,Purchase,Retired,2022-01-25,2052-01-25,2022,Q1-2022,445000.0,4.55,30,LO-657
LN-00138,BR012,Fixed 30-Year,Purchase,Self-Employed,2023-02-06,2053-02-06,2023,Q1-2023,306000.0,8.58,30,LO-757
LN-00139,BR020,ARM 7/1,Refinance,Self-Employed,2019-05-31,2034-05-31,2019,Q2-2019,121000.0,5.08,15,LO-170
LN-00140,BR018,Fixed 30-Year,Refinance,Salaried,2021-09-07,2051-09-07,2021,Q3-2021,257000.0,8.03,30,LO-383
LN-00141,BR005,ARM 7/1,Refinance,Salaried,2019-03-27,2034-03-27,2019,Q1-2019,523000.0,7.64,15,LO-234
LN-00142,BR001,Fixed 30-Year,Purchase,Salaried,2018-03-06,2048-03-06,2018,Q1-2018,727000.0,6.49,30,LO-229
LN-00143,BR014,Fixed 15-Year,Purchase,Salaried,2022-01-22,2037-01-22,2022,Q1-2022,691000.0,5.87,15,LO-562
LN-00144,BR017,Fixed 30-Year,Purchase,Salaried,2023-11-06,2053-11-06,2023,Q4-2023,584000.0,7.25,30,LO-162
LN-00145,BR016,ARM 5/1,Purchase,Salaried,2022-12-22,2037-12-22,2022,Q4-2022,430000.0,3.84,15,LO-429
LN-00146,BR020,Fixed 30-Year,Refinance,Contract,2024-02-25,2054-02-25,2024,Q1-2024,183000.0,6.68,30,LO-711
LN-00147,BR017,Fixed 30-Year,Cash-Out Refinance,Self-Employed,2019-04-14,2049-04-14,2019,Q2-2019,495000.0,5.62,30,LO-540
LN-00148,BR015,ARM 5/1,Purchase,Salaried,2022-06-22,2037-06-22,2022,Q2-2022,419000.0,7.8,15,LO-420
LN-00149,BR014,Fixed 30-Year,Purchase,Salaried,2023-04-27,2053-04-27,2023,Q2-2023,289000.0,8.49,30,LO-195
LN-00150,BR014,Fixed 30-Year,Purchase,Retired,2024-03-28,2054-03-28,2024,Q1-2024,686000.0,7.71,30,LO-786
LN-00151,BR004,Fixed 30-Year,Cash-Out Refinance,Salaried,2022-09-29,2052-09-29,2022,Q3-2022,796000.0,8.43,30,LO-394
LN-00152,BR020,Fixed 30-Year,Refinance,Self-Employed,2019-09-26,2049-09-26,2019,Q3-2019,165000.0,6.04,30,LO-967
LN-00153,BR004,Fixed 30-Year,Refinance,Contract,2021-02-15,2051-02-15,2021,Q1-2021,536000.0,3.88,30,LO-965
LN-00154,BR018,ARM 7/1,Purchase,Retired,2024-03-30,2039-03-30,2024,Q1-2024,751000.0,6.62,15,LO-129
LN-00155,BR006,Fixed 30-Year,Purchase,Self-Employed,2021-12-08,2051-12-08,2021,Q4-2021,705000.0,8.32,30,LO-679
LN-00156,BR013,Fixed 30-Year,Refinance,Self-Employed,2019-01-11,2049-01-11,2019,Q1-2019,688000.0,8.59,30,LO-485
LN-00157,BR014,Fixed 30-Year,Refinance,Salaried,2021-08-21,2051-08-21,2021,Q3-2021,209000.0,4.96,30,LO-153
LN-00158,BR005,Fixed 30-Year,Purchase,Contract,2021-01-19,2051-01-19,2021,Q1-2021,587000.0,6.96,30,LO-597
LN-00159,BR020,Fixed 30-Year,Purchase,Salaried,2019-04-12,2049-04-12,2019,Q2-2019,304000.0,7.4,30,LO-390
LN-00160,BR019,Fixed 30-Year,Home Equity,Salaried,2022-06-07,2052-06-07,2022,Q2-2022,627000.0,3.5,30,LO-107
LN-00161,BR007,Fixed 30-Year,Purchase,Salaried,2020-11-12,2050-11-12,2020,Q4-2020,253000.0,4.0,30,LO-107
LN-00162,BR016,Fixed 15-Year,Purchase,Retired,2020-07-31,2035-07-31,2020,Q3-2020,224000.0,5.34,15,LO-173
LN-00163,BR013,ARM 5/1,Cash-Out Refinance,Contract,2018-11-15,2033-11-15,2018,Q4-2018,115000.0,3.35,15,LO-687
LN-00164,BR013,Fixed 15-Year,Home Equity,Self-Employed,2018-03-27,2033-03-27,2018,Q1-2018,423000.0,3.88,15,LO-920
LN-00165,BR020,Fixed 30-Year,Cash-Out Refinance,Self-Employed,2022-11-24,2052-11-24,2022,Q4-2022,645000.0,5.24,30,LO-546
LN-00166,BR019,Fixed 30-Year,Purchase,Self-Employed,2021-10-22,2051-10-22,2021,Q4-2021,144000.0,8.04,30,LO-178
LN-00167,BR017,Fixed 15-Year,Purchase,Self-Employed,2021-12-02,2036-12-02,2021,Q4-2021,515000.0,4.32,15,LO-341
LN-00168,BR004,Fixed 30-Year,Purchase,Contract,2018-11-05,2048-11-05,2018,Q4-2018,242000.0,6.56,30,LO-575
LN-00169,BR019,ARM 5/1,Refinance,Retired,2024-05-01,2039-05-01,2024,Q2-2024,448000.0,8.33,15,LO-984
LN-00170,BR011,Fixed 30-Year,Refinance,Salaried,2021-05-25,2051-05-25,2021,Q2-2021,136000.0,5.68,30,LO-460
LN-00171,BR017,Fixed 30-Year,Cash-Out Refinance,Salaried,2022-02-19,2052-02-19,2022,Q1-2022,459000.0,3.46,30,LO-760
LN-00172,BR003,Fixed 15-Year,Home Equity,Salaried,2024-03-20,2039-03-20,2024,Q1-2024,496000.0,5.79,15,LO-560
LN-00173,BR019,Fixed 15-Year,Home Equity,Contract,2019-09-10,2034-09-10,2019,Q3-2019,344000.0,5.87,15,LO-205
LN-00174,BR011,ARM 7/1,Purchase,Contract,2018-06-10,2033-06-10,2018,Q2-2018,149000.0,6.8,15,LO-549
LN-00175,BR017,Fixed 15-Year,Purchase,Retired,2021-03-04,2036-03-04,2021,Q1-2021,210000.0,5.3,15,LO-795
LN-00176,BR020,Fixed 30-Year,Purchase,Contract,2021-09-12,2051-09-12,2021,Q3-2021,597000.0,5.09,30,LO-390
LN-00177,BR009,Fixed 15-Year,Purchase,Self-Employed,2019-09-08,2034-09-08,2019,Q3-2019,618000.0,8.23,15,LO-458
LN-00178,BR010,ARM 7/1,Purchase,Contract,2018-12-14,2033-12-14,2018,Q4-2018,653000.0,5.41,15,LO-758
LN-00179,BR011,ARM 5/1,Purchase,Contract,2023-11-27,2038-11-27,2023,Q4-2023,629000.0,7.81,15,LO-620
LN-00180,BR012,Fixed 30-Year,Home Equity,Contract,2021-10-31,2051-10-31,2021,Q4-2021,333000.0,8.48,30,LO-296
LN-00181,BR008,ARM 7/1,Purchase,Salaried,2019-02-19,2034-02-19,2019,Q1-2019,207000.0,4.88,15,LO-777
LN-00182,BR011,ARM 5/1,Purchase,Self-Employed,2019-09-24,2034-09-24,2019,Q3-2019,587000.0,6.53,15,LO-838
LN-00183,BR015,Fixed 30-Year,Refinance,Contract,2022-12-25,2052-12-25,2022,Q4-2022,379000.0,7.21,30,LO-339
LN-00184,BR018,Fixed 30-Year,Purchase,Contract,2020-03-05,2050-03-05,2020,Q1-2020,872000.0,7.56,30,LO-572
LN-00185,BR010,ARM 5/1,Cash-Out Refinance,Self-Employed,2019-10-26,2034-10-26,2019,Q4-2019,492000.0,5.55,15,LO-993
LN-00186,BR009,Fixed 30-Year,Refinance,Salaried,2019-02-25,2049-02-25,2019,Q1-2019,474000.0,5.29,30,LO-391
LN-00187,BR003,ARM 5/1,Cash-Out Refinance,Salaried,2019-08-27,2034-08-27,2019,Q3-2019,304000.0,8.23,15,LO-327
LN-00188,BR015,ARM 5/1,Purchase,Self-Employed,2022-06-12,2037-06-12,2022,Q2-2022,843000.0,5.53,15,LO-495
LN-00189,BR003,Fixed 30-Year,Refinance,Self-Employed,2021-10-05,2051-10-05,2021,Q4-2021,103000.0,8.37,30,LO-139
LN-00190,BR010,ARM 7/1,Purchase,Salaried,2023-04-06,2038-04-06,2023,Q2-2023,467000.0,7.82,15,LO-181
LN-00191,BR001,Fixed 30-Year,Purchase,Retired,2023-12-02,2053-12-02,2023,Q4-2023,765000.0,6.27,30,LO-343
LN-00192,BR010,Fixed 30-Year,Purchase,Contract,2023-02-16,2053-02-16,2023,Q1-2023,276000.0,6.76,30,LO-711
LN-00193,BR018,Fixed 30-Year,Purchase,Salaried,2019-08-12,2049-08-12,2019,Q3-2019,503000.0,4.58,30,LO-729
LN-00194,BR012,Fixed 30-Year,Purchase,Retired,2018-12-17,2048-12-17,2018,Q4-2018,422000.0,6.9,30,LO-169
LN-00195,BR017,Fixed 15-Year,Purchase,Contract,2018-03-25,2033-03-25,2018,Q1-2018,725000.0,6.04,15,LO-144
LN-00196,BR013,ARM 7/1,Purchase,Salaried,2018-10-04,2033-10-04,2018,Q4-2018,288000.0,3.34,15,LO-890
LN-00197,BR019,Fixed 15-Year,Purchase,Self-Employed,2024-02-15,2039-02-15,2024,Q1-2024,353000.0,3.49,15,LO-950
