LoanID,LoanStatus,DaysDelinquent,MonthlyPayment,LastPaymentDate,DelinquencyFlag,DefaultFlag,AgingBucket
LN-00088,Current,0,1997.82,2028-07-01,0,0,0-Current
LN-00089,Current,0,5544.71,2026-12-06,0,0,0-Current
LN-00090,Current,0,2172.04,2022-03-25,0,0,0-Current
LN-00091,Current,0,910.78,2023-03-07,0,0,0-Current
LN-00092,Current,0,4505.98,2022-11-12,0,0,0-Current
LN-00093,Current,0,3235.62,2025-01-23,0,0,0-Current
LN-00094,Current,0,2152.49,2025-10-07,0,0,0-Current
LN-00095,Current,0,3796.89,2019-01-26,0,0,0-Current
LN-00096,60 DPD,89,1407.14,2021-04-25,1,0,2-60 DPD
LN-00097,Current,0,5471.07,2022-02-18,0,0,0-Current
LN-00098,60 DPD,83,1859.78,2023-11-25,1,0,2-60 DPD
LN-00099,Current,0,7403.31,2022-09-20,0,0,0-Current
LN-00100,30 DPD,49,897.0,2027-03-16,1,0,1-30 DPD
LN-00101,Current,0,6251.43,2026-09-21,0,0,0-Current
LN-00102,Current,0,2334.31,2020-04-19,0,0,0-Current
LN-00103,Current,0,4409.48,2025-12-01,0,0,0-Current
LN-00104,Current,0,5315.85,2027-06-12,0,0,0-Current
LN-00105,Current,0,4512.3,2019-03-21,0,0,0-Current
LN-00106,Current,0,3388.95,2021-12-10,0,0,0-Current
LN-00107,Current,0,1555.46,2021-07-16,0,0,0-Current
LN-00108,Current,0,4026.5,2021-11-13,0,0,0-Current
LN-00109,Current,0,984.79,2027-01-01,0,0,0-Current
LN-00110,Current,0,4147.22,2025-04-17,0,0,0-Current
LN-00111,30 DPD,32,4960.26,2023-12-12,1,0,1-30 DPD
LN-00112,Current,0,4367.96,2022-08-24,0,0,0-Current
LN-00113,Current,0,3211.16,2029-08-23,0,0,0-Current
LN-00114,Current,0,660.21,2025-11-09,0,0,0-Current
LN-00115,90 DPD,100,689.78,2025-04-24,1,0,3-90 DPD
LN-00116,Current,0,5833.4,2024-02-17,0,0,0-Current
LN-00117,30 DPD,34,786.2,2023-04-18,1,0,1-30 DPD
LN-00118,Current,0,4794.17,2021-07-23,0,0,0-Current
LN-00119,Current,0,2590.59,2020-11-17,0,0,0-Current
LN-00120,Current,0,1068.0,2025-05-19,0,0,0-Current
LN-00121,Current,0,4087.23,2026-10-09,0,0,0-Current
LN-00122,60 DPD,68,6991.79,2026-11-16,1,0,2-60 DPD
LN-00123,Current,0,2345.42,2026-07-28,0,0,0-Current
LN-00124,Current,0,3195.45,2028-09-11,0,0,0-Current
LN-00125,Default,254,7610.82,2026-10-15,1,1,4-Default
LN-00126,Current,0,5795.06,2023-02-05,0,0,0-Current
LN-00127,30 DPD,41,1802.86,2025-03-09,1,0,1-30 DPD
LN-00128,Current,0,4047.07,2024-02-26,0,0,0-Current
LN-00129,Current,0,4484.11,2026-02-08,0,0,0-Current
LN-00130,Current,0,983.18,2026-03-20,0,0,0-Current
LN-00131,Current,0,3200.35,2030-03-30,0,0,0-Current
LN-00132,Default,218,7389.62,2022-08-12,1,1,4-Default
LN-00133,Current,0,5248.19,2023-03-10,0,0,0-Current
LN-00134,Current,0,1258.19,2023-01-29,0,0,0-Current
LN-00135,Paid Off,0,2922.32,2023-11-25,0,0,5-Paid Off
LN-00136,Current,0,5839.52,2024-07-26,0,0,0-Current
LN-00137,Current,0,2267.99,2022-02-26,0,0,0-Current
LN-00138,Current,0,2370.25,2028-10-09,0,0,0-Current
LN-00139,Current,0,961.91,2020-10-14,0,0,0-Current
LN-00140,Current,0,1891.15,2021-10-22,0,0,0-Current
LN-00141,Current,0,4889.98,2024-09-04,0,0,0-Current
LN-00142,60 DPD,78,4590.35,2019-02-10,1,0,2-60 DPD
LN-00143,Current,0,5782.63,2026-09-26,0,0,0-Current
LN-00144,Current,0,3983.91,2027-06-26,0,0,0-Current
LN-00145,Current,0,3146.29,2026-05-25,0,0,0-Current
LN-00146,Current,0,1178.43,2028-04-28,0,0,0-Current
LN-00147,Current,0,2847.94,2023-04-16,0,0,0-Current
LN-00148,Current,0,3955.96,2026-06-09,0,0,0-Current
LN-00149,90 DPD,104,2220.11,2026-02-22,1,0,3-90 DPD
LN-00150,Current,0,4895.64,2027-04-06,0,0,0-Current
LN-00151,Current,0,6081.11,2027-03-15,0,0,0-Current
LN-00152,Current,0,993.51,2023-05-29,0,0,0-Current
LN-00153,Current,0,2522.0,2026-08-17,0,0,0-Current
LN-00154,Current,0,6591.66,2025-11-30,0,0,0-Current
LN-00155,Current,0,5331.16,2026-02-27,0,0,0-Current
LN-00156,Current,0,5334.07,2020-01-09,0,0,0-Current
LN-00157,90 DPD,116,1116.85,2026-12-24,1,0,3-90 DPD
LN-00158,Current,0,3889.57,2027-03-02,0,0,0-Current
LN-00159,60 DPD,64,2104.83,2019-10-24,1,0,2-60 DPD
LN-00160,Current,0,2815.51,2022-08-26,0,0,0-Current
LN-00161,Current,0,1207.86,2023-07-12,0,0,0-Current
LN-00162,Current,0,1811.3,2024-04-12,0,0,0-Current
LN-00163,30 DPD,32,813.67,2022-05-08,1,0,1-30 DPD
LN-00164,90 DPD,94,3103.5,2023-07-31,1,0,3-90 DPD
LN-00165,Current,0,3557.72,2025-09-30,0,0,0-Current
LN-00166,Default,315,1060.64,2026-06-12,1,1,4-Default
LN-00167,Current,0,3892.5,2024-03-08,0,0,0-Current
LN-00168,60 DPD,79,1539.17,2024-12-31,1,0,2-60 DPD
LN-00169,Current,0,4367.1,2026-07-01,0,0,0-Current
LN-00170,30 DPD,33,787.62,2021-06-24,1,0,1-30 DPD
LN-00171,Current,0,2050.88,2025-11-12,0,0,0-Current
LN-00172,Current,0,4129.47,2025-12-09,0,0,0-Current
LN-00173,30 DPD,55,2878.76,2024-07-15,1,0,1-30 DPD
LN-00174,Current,0,1322.65,2020-12-25,0,0,0-Current
LN-00175,Current,0,1693.67,2026-02-27,0,0,0-Current
LN-00176,60 DPD,60,3237.74,2028-03-01,1,0,2-60 DPD
LN-00177,Paid Off,0,5988.28,2023-07-11,0,0,5-Paid Off
LN-00178,Paid Off,0,5304.42,2022-04-24,0,0,5-Paid Off
LN-00179,Current,0,5942.26,2025-07-24,0,0,0-Current
LN-00180,Current,0,2555.76,2022-03-21,0,0,0-Current
LN-00181,Current,0,1624.03,2021-10-23,0,0,0-Current
LN-00182,Current,0,5123.09,2021-06-20,0,0,0-Current
LN-00183,Current,0,2575.17,2025-09-23,0,0,0-Current
LN-00184,Current,0,6133.02,2024-03-12,0,0,0-Current
LN-00185,Current,0,4033.12,2023-06-25,0,0,0-Current
LN-00186,Current,0,2629.2,2024-03-11,0,0,0-Current
LN-00187,Current,0,2945.69,2020-09-30,0,0,0-Current
LN-00188,Current,0,6901.44,2028-09-23,0,0,0-Current
LN-00189,Current,0,782.51,2025-04-02,0,0,0-Current
LN-00190,Current,0,4414.5,2025-08-04,0,0,0-Current
LN-00191,Current,0,4720.19,2028-05-24,0,0,0-Current
LN-00192,Current,0,1791.97,2029-01-21,0,0,0-Current
LN-00193,Current,0,2572.59,2024-10-11,0,0,0-Current
LN-00194,30 DPD,30,2779.29,2021-03-03,1,0,1-30 DPD
LN-00195,60 DPD,79,6133.64,2020-05-07,1,0,2-60 DPD
LN-00196,Current,0,2036.31,2023-03-11,0,0,0-Current
LN-00197,Current,0,2521.8,2026-04-05,0,0,0-Current
LN-00198,Current,0,3550.75,2024-08-21,0,0,0-Current
LN-00199,Current,0,5410.25,2022-11-15,0,0,0-Current
LN-00200,Current,0,717.85,2022-03-27,0,0,0-Current
LN-00201,Current,0,4242.68,2027-05-07,0,0,0-Current
LN-00202,Current,0,3693.66,2029-11-02,0,0,0-Current
LN-00203,Current,0,4120.14,2027-02-15,0,0,0-Current
LN-00204,Current,0,2894.29,2028-08-24,0,0,0-Current
LN-00205,90 DPD,95,4349.55,2028-12-19,1,0,3-90 DPD
LN-00206,Current,0,4898.33,2022-11-27,0,0,0-Current
LN-00207,Current,0,3969.27,2026-05-14,0,0,0-Current
LN-00208,Current,0,6919.85,2022-08-11,0,0,0-Current
LN-00209,Current,0,2089.59,2025-02-15,0,0,0-Current
LN-00210,Current,0,1700.57,2024-07-29,0,0,0-Current
LN-00211,Current,0,689.51,2029-01-19,0,0,0-Current
LN-00212,Current,0,4157.74,2021-09-25,0,0,0-Current
LN-00213,Current,0,1364.14,2025-07-26,0,0,0-Current
LN-00214,Current,0,3587.56,2027-07-17,0,0,0-Current
LN-00215,30 DPD,55,3953.61,2023-03-18,1,0,1-30 DPD
LN-00216,Current,0,4033.23,2025-02-26,0,0,0-Current
LN-00217,Current,0,3736.72,2022-11-14,0,0,0-Current
LN-00218,Current,0,3614.69,2029-10-07,0,0,0-Current
LN-00219,Current,0,3919.16,2022-10-06,0,0,0-Current
LN-00220,Current,0,4165.8,2026-10-06,0,0,0-Current
LN-00221,Current,0,5993.39,2024-02-21,0,0,0-Current
LN-00222,Current,0,3130.89,2021-12-07,0,0,0-Current
LN-00223,60 DPD,70,746.27,2023-11-22,1,0,2-60 DPD
LN-00224,Default,153,4581.92,2027-04-24,1,1,4-Default
LN-00225,Current,0,1284.38,2019-11-15,0,0,0-Current
LN-00226,90 DPD,109,6273.69,2026-03-22,1,0,3-90 DPD
LN-00227,Current,0,5061.38,2025-07-18,0,0,0-Current
LN-00228,Default,321,865.72,2027-08-16,1,1,4-Default
LN-00229,Current,0,1973.92,2024-12-05,0,0,0-Current
LN-00230,60 DPD,71,5484.7,2028-04-27,1,0,2-60 DPD
LN-00231,90 DPD,91,2949.96,2024-11-21,1,0,3-90 DPD
LN-00232,Current,0,1754.42,2025-10-29,0,0,0-Current
LN-00233,60 DPD,65,2057.14,2028-04-02,1,0,2-60 DPD
LN-00234,Current,0,3760.6,2024-04-26,0,0,0-Current
LN-00235,30 DPD,38,5389.18,2028-01-03,1,0,1-30 DPD
LN-00236,Current,0,4149.93,2025-06-24,0,0,0-Current
LN-00237,60 DPD,85,2655.24,2030-02-16,1,0,2-60 DPD
LN-00238,Current,0,3830.06,2022-06-17,0,0,0-Current
LN-00239,Current,0,1202.82,2022-03-03,0,0,0-Current
LN-00240,Current,0,5401.75,2024-05-13,0,0,0-Current
LN-00241,60 DPD,76,3811.7,2024-06-27,1,0,2-60 DPD
LN-00242,Default,146,7105.31,2023-07-18,1,1,4-Default
LN-00243,90 DPD,110,2615.21,2024-09-19,1,0,3-90 DPD
LN-00244,Current,0,2785.74,2022-03-23,0,0,0-Current
LN-00245,Current,0,5794.21,2024-03-27,0,0,0-Current
LN-00246,90 DPD,101,5276.64,2026-09-20,1,0,3-90 DPD
LN-00247,Current,0,4314.58,2025-04-01,0,0,0-Current
LN-00248,Current,0,3112.6,2024-01-19,0,0,0-Current
LN-00249,Current,0,1884.8,2025-08-29,0,0,0-Current
LN-00250,90 DPD,110,2473.87,2021-12-18,1,0,3-90 DPD
LN-00251,Current,0,1041.71,2029-12-18,0,0,0-Current
LN-00252,Current,0,2556.58,2027-01-25,0,0,0-Current
LN-00253,90 DPD,92,1118.48,2023-09-06,1,0,3-90 DPD
LN-00254,30 DPD,33,1882.9,2023-05-13,1,0,1-30 DPD
LN-00255,Current,0,1351.33,2022-12-26,0,0,0-Current
LN-00256,Current,0,2295.09,2024-01-18,0,0,0-Current
LN-00257,Current,0,4123.12,2021-09-16,0,0,0-Current
LN-00258,Current,0,3668.6,2023-03-06,0,0,0-Current
LN-00259,Current,0,5119.57,2026-05-22,0,0,0-Current
LN-00260,30 DPD,41,6562.26,2021-10-25,1,0,1-30 DPD
LN-00261,60 DPD,83,3666.21,2025-08-05,1,0,2-60 DPD
LN-00262,Current,0,2117.18,2024-03-11,0,0,0-Current
LN-00263,Current,0,600.09,2024-11-23,0,0,0-Current
LN-00264,Current,0,2359.36,2022-10-13,0,0,0-Current
LN-00265,Current,0,1650.36,2023-06-07,0,0,0-Current
LN-00266,Current,0,1087.19,2024-02-25,0,0,0-Current
LN-00267,Current,0,4210.76,2027-02-27,0,0,0-Current
LN-00268,Current,0,2963.48,2022-09-18,0,0,0-Current
LN-00269,Current,0,4490.0,2024-06-26,0,0,0-Current
LN-00270,Current,0,5557.89,2023-04-08,0,0,0-Current
LN-00271,Current,0,855.07,2025-12-15,0,0,0-Current
LN-00272,Default,208,1368.5,2019-07-12,1,1,4-Default
LN-00273,60 DPD,81,3773.1,2023-03-01,1,0,2-60 DPD
LN-00274,60 DPD,71,1480.31,2025-06-11,1,0,2-60 DPD
LN-00275,Current,0,2357.56,2028-01-01,0,0,0-Current
LN-00276,Current,0,1605.63,2030-01-03,0,0,0-Current
LN-00277,90 DPD,104,7157.39,2028-01-13,1,0,3-90 DPD
LN-00278,Current,0,1611.63,2023-06-29,0,0,0-Current
LN-00279,Current,0,2479.25,2024-01-02,0,0,0-Current
LN-00280,Current,0,4508.04,2023-07-07,0,0,0-Current
LN-00281,Current,0,1759.03,2025-03-09,0,0,0-Current
LN-00282,60 DPD,74,5789.7,2028-11-18,1,0,2-60 DPD
LN-00283,Current,0,3558.54,2029-01-11,0,0,0-Current
LN-00284,30 DPD,57,858.5,2023-01-01,1,0,1-30 DPD
LN-00285,30 DPD,47,1679.09,2025-12-21,1,0,1-30 DPD
LN-00286,30 DPD,48,5097.42,2023-03-20,1,0,1-30 DPD
LN-00287,Current,0,4667.85,2026-06-02,0,0,0-Current
LN-00288,Current,0,1327.2,2020-05-21,0,0,0-Current
LN-00289,Paid Off,0,1027.59,2027-09-19,0,0,5-Paid Off
LN-00290,Current,0,2933.03,2018-04-27,0,0,0-Current
LN-00291,90 DPD,102,4949.76,2024-10-31,1,0,3-90 DPD
LN-00292,90 DPD,96,3028.42,2024-02-24,1,0,3-90 DPD
LN-00293,Current,0,3509.38,2022-12-06,0,0,0-Current
LN-00294,60 DPD,74,2417.64,2022-07-16,1,0,2-60 DPD
LN-00295,Current,0,4838.17,2025-02-20,0,0,0-Current
LN-00296,Current,0,5598.57,2022-03-13,0,0,0-Current
LN-00297,Current,0,3856.06,2027-09-03,0,0,0-Current
LN-00298,30 DPD,35,5404.32,2024-12-22,1,0,1-30 DPD
LN-00299,Current,0,4234.59,2025-04-08,0,0,0-Current
LN-00300,Current,0,3171.24,2025-12-31,0,0,0-Current
LN-00301,Default,190,2382.89,2026-04-15,1,1,4-Default
LN-00302,Current,0,4514.07,2026-10-30,0,0,0-Current
LN-00303,Current,0,4302.28,2023-05-25,0,0,0-Current
LN-00304,Current,0,4110.05,2024-11-01,0,0,0-Current
LN-00305,Current,0,3653.5,2023-01-18,0,0,0-Current
LN-00306,Current,0,5563.88,2024-09-05,0,0,0-Current
LN-00307,30 DPD,39,7634.76,2021-06-17,1,0,1-30 DPD
LN-00308,Current,0,2200.48,2029-02-15,0,0,0-Current
LN-00309,Paid Off,0,5802.63,2024-10-02,0,0,5-Paid Off
LN-00310,Default,131,484.53,2027-01-03,1,1,4-Default
LN-00311,Current,0,4937.13,2020-06-22,0,0,0-Current
LN-00312,Current,0,2187.35,2029-02-26,0,0,0-Current
LN-00313,90 DPD,94,4002.44,2030-04-11,1,0,3-90 DPD
LN-00314,Current,0,5169.14,2024-05-26,0,0,0-Current
LN-00315,Current,0,5981.05,2027-11-17,0,0,0-Current
LN-00316,Current,0,6208.01,2019-12-14,0,0,0-Current
LN-00317,30 DPD,47,8013.31,2024-08-11,1,0,1-30 DPD
LN-00318,Current,0,6077.21,2023-01-23,0,0,0-Current
LN-00319,Current,0,5889.32,2025-09-16,0,0,0-Current
LN-00320,30 DPD,48,812.9,2024-01-05,1,0,1-30 DPD
LN-00321,Current,0,4501.96,2027-07-09,0,0,0-Current
LN-00322,60 DPD,81,3852.81,2024-02-18,1,0,2-60 DPD
LN-00323,30 DPD,45,2668.9,2026-05-07,1,0,1-30 DPD
LN-00324,Current,0,1692.4,2024-12-16,0,0,0-Current
LN-00325,Current,0,2886.62,2025-03-10,0,0,0-Current
LN-00326,Current,0,3487.48,2021-08-11,0,0,0-Current
LN-00327,90 DPD,109,2292.72,2021-02-08,1,0,3-90 DPD
LN-00328,Current,0,1144.01,2025-07-12,0,0,0-Current
LN-00329,Default,148,4483.25,2026-07-18,1,1,4-Default
LN-00330,Current,0,896.17,2024-10-27,0,0,0-Current
LN-00331,Current,0,3131.0,2023-05-05,0,0,0-Current
LN-00332,Current,0,6086.64,2027-04-24,0,0,0-Current
LN-00333,Current,0,2030.76,2024-01-21,0,0,0-Current
LN-00334,30 DPD,38,7355.66,2028-02-12,1,0,1-30 DPD
LN-00335,Current,0,657.99,2025-12-01,0,0,0-Current
LN-00336,60 DPD,80,4484.8,2023-10-29,1,0,2-60 DPD
LN-00337,Current,0,4111.44,2030-03-19,0,0,0-Current
LN-00338,Current,0,6513.41,2026-06-18,0,0,0-Current
LN-00339,30 DPD,31,4334.01,2021-07-05,1,0,1-30 DPD
LN-00340,Current,0,6894.52,2023-10-03,0,0,0-Current
LN-00341,30 DPD,54,6401.53,2029-08-30,1,0,1-30 DPD
LN-00342,Current,0,2187.71,2023-05-10,0,0,0-Current
LN-00343,Current,0,1759.46,2022-03-06,0,0,0-Current
LN-00344,Current,0,5337.93,2026-10-19,0,0,0-Current
LN-00345,Paid Off,0,5108.23,2022-09-06,0,0,5-Paid Off
LN-00346,60 DPD,65,3018.16,2023-06-04,1,0,2-60 DPD
LN-00347,Current,0,5957.77,2025-12-30,0,0,0-Current
LN-00348,Current,0,3096.13,2026-12-21,0,0,0-Current
LN-00349,Current,0,4289.38,2024-06-05,0,0,0-Current
LN-00350,Default,136,4316.15,2024-11-22,1,1,4-Default
LN-00351,Current,0,1730.66,2023-03-31,0,0,0-Current
LN-00352,Current,0,719.59,2024-03-23,0,0,0-Current
LN-00353,30 DPD,49,3135.53,2025-12-29,1,0,1-30 DPD
LN-00354,Current,0,1239.63,2019-05-12,0,0,0-Current
LN-00355,Current,0,5512.5,2024-04-25,0,0,0-Current
LN-00356,30 DPD,55,4336.27,2023-10-18,1,0,1-30 DPD
LN-00357,Current,0,1120.55,2026-07-11,0,0,0-Current
LN-00358,Current,0,3125.64,2023-04-27,0,0,0-Current
LN-00359,Current,0,2856.96,2024-07-22,0,0,0-Current
LN-00360,30 DPD,46,1031.23,2024-03-31,1,0,1-30 DPD
LN-00361,Paid Off,0,4906.19,2026-12-05,0,0,5-Paid Off
LN-00362,Current,0,5034.2,2022-12-12,0,0,0-Current
LN-00363,90 DPD,99,3174.78,2027-01-28,1,0,3-90 DPD
LN-00364,Current,0,3334.78,2024-12-21,0,0,0-Current
LN-00365,Current,0,1642.34,2024-05-09,0,0,0-Current
LN-00366,Current,0,870.67,2027-08-01,0,0,0-Current
LN-00367,Paid Off,0,4439.86,2025-10-12,0,0,5-Paid Off
LN-00368,Current,0,5020.66,2020-10-18,0,0,0-Current
LN-00369,Current,0,975.36,2022-03-29,0,0,0-Current
LN-00370,Current,0,4125.39,2019-12-23,0,0,0-Current
LN-00371,Current,0,1026.9,2020-09-04,0,0,0-Current
LN-00372,Current,0,2610.7,2023-11-07,0,0,0-Current
LN-00373,90 DPD,96,2141.59,2023-12-16,1,0,3-90 DPD
LN-00374,Current,0,2852.09,2023-07-18,0,0,0-Current
LN-00375,Current,0,7323.4,2026-02-28,0,0,0-Current
LN-00376,Current,0,2883.13,2024-05-12,0,0,0-Current
LN-00377,Current,0,4933.71,2019-10-29,0,0,0-Current
LN-00378,Current,0,5422.14,2019-03-17,0,0,0-Current
LN-00379,Default,142,4939.53,2029-03-14,1,1,4-Default
LN-00380,Current,0,1536.4,2018-12-26,0,0,0-Current
LN-00381,Current,0,4352.92,2029-09-20,0,0,0-Current
LN-00382,Current,0,4316.13,2021-09-20,0,0,0-Current
LN-00383,Current,0,5401.12,2025-05-26,0,0,0-Current
LN-00384,Current,0,971.39,2021-12-12,0,0,0-Current
LN-00385,Current,0,3356.1,2022-08-27,0,0,0-Current
LN-00386,Current,0,4130.09,2019-09-30,0,0,0-Current
LN-00387,Current,0,2330.59,2021-09-12,0,0,0-Current
LN-00388,60 DPD,63,3866.82,2022-05-14,1,0,2-60 DPD
LN-00389,Current,0,3635.31,2021-01-31,0,0,0-Current
LN-00390,60 DPD,88,2743.51,2021-08-06,1,0,2-60 DPD
LN-00391,Current,0,1473.22,2027-09-22,0,0,0-Current
LN-00392,Current,0,3966.05,2028-06-01,0,0,0-Current
LN-00393,90 DPD,94,1221.06,2020-07-27,1,0,3-90 DPD
LN-00394,30 DPD,43,4758.53,2023-07-22,1,0,1-30 DPD
LN-00395,Current,0,5660.17,2028-01-29,0,0,0-Current
LN-00396,Current,0,3932.41,2027-02-04,0,0,0-Current
LN-00397,Current,0,2531.0,2022-11-17,0,0,0-Current
LN-00398,Current,0,8920.78,2022-02-02,0,0,0-Current
LN-00399,Current,0,5972.37,2025-05-26,0,0,0-Current
LN-00400,30 DPD,38,4027.55,2022-03-19,1,0,1-30 DPD
LN-00401,Current,0,4676.82,2023-06-04,0,0,0-Current
LN-00402,Current,0,502.16,2021-09-14,0,0,0-Current
LN-00403,Default,284,1808.55,2024-11-02,1,1,4-Default
LN-00404,30 DPD,55,3152.78,2019-06-17,1,0,1-30 DPD
LN-00405,Default,295,5416.73,2022-05-14,1,1,4-Default
LN-00406,Current,0,7714.74,2023-08-21,0,0,0-Current
LN-00407,Current,0,3568.96,2027-04-18,0,0,0-Current
LN-00408,Current,0,6919.87,2022-01-23,0,0,0-Current
LN-00409,Current,0,4144.4,2023-02-05,0,0,0-Current
LN-00410,60 DPD,67,2098.45,2021-07-29,1,0,2-60 DPD
LN-00411,Current,0,1298.94,2026-03-21,0,0,0-Current
LN-00412,Current,0,2063.55,2023-10-11,0,0,0-Current
LN-00413,Current,0,5360.95,2028-08-19,0,0,0-Current
LN-00414,60 DPD,81,4093.72,2027-01-30,1,0,2-60 DPD
