LoanID,CreditScore,CreditBand,BureauPullDate,PreviousDefaults,TotalExistingDebt,MonthlyIncome,BureauSource
LN-00073,697,Fair (650-699),2020-05-19,0,46000.0,9524.0,TransUnion
LN-00074,825,Excellent (750+),2019-03-20,2,57000.0,16325.0,Experian
LN-00075,550,Poor (<650),2022-03-09,0,242000.0,14784.0,TransUnion
LN-00076,765,Excellent (750+),2021-05-05,0,190000.0,11710.0,TransUnion
LN-00077,706,Good (700-749),2022-02-16,0,104000.0,10389.0,Equifax
LN-00078,676,Fair (650-699),2023-01-30,0,77000.0,4516.0,Experian
LN-00079,707,Good (700-749),2023-12-16,0,144000.0,12383.0,Experian
LN-00080,550,Poor (<650),2018-12-12,0,149000.0,7230.0,Equifax
LN-00081,682,Fair (650-699),2023-06-27,0,5000.0,16320.0,Experian
LN-00082,728,Good (700-749),2021-01-21,0,72000.0,11819.0,TransUnion
LN-00083,818,Excellent (750+),2023-04-05,0,84000.0,23686.0,TransUnion
LN-00084,658,Fair (650-699),2021-06-01,0,128000.0,6801.0,Experian
LN-00085,635,Poor (<650),2021-09-01,0,141000.0,15711.0,Equifax
LN-00086,659,Fair (650-699),2019-04-12,0,155000.0,21744.0,Experian
LN-00087,773,Excellent (750+),2023-10-26,0,57000.0,10247.0,TransUnion
LN-00088,726,Good (700-749),2023-12-19,0,202000.0,3783.0,TransUnion
LN-00089,657,Fair (650-699),2023-06-24,0,47000.0,27375.0,TransUnion
LN-00090,741,Good (700-749),2018-07-05,1,137000.0,22633.0,Experian
LN-00091,707,Good (700-749),2018-07-19,0,276000.0,5705.0,TransUnion
LN-00092,777,Excellent (750+),2020-06-14,0,271000.0,25155.0,TransUnion
LN-00093,643,Poor (<650),2024-04-30,0,25000.0,10543.0,Equifax
LN-00094,673,Fair (650-699),2020-08-11,0,141000.0,18992.0,Experian
LN-00095,668,Fair (650-699),2018-04-27,0,195000.0,10571.0,TransUnion
LN-00096,582,Poor (<650),2020-03-09,0,12000.0,20520.0,Experian
LN-00097,723,Good (700-749),2019-11-02,1,265000.0,3835.0,Experian
LN-00098,720,Good (700-749),2020-12-24,0,147000.0,27259.0,Experian
LN-00099,700,Good (700-749),2020-10-10,2,49000.0,24529.0,Experian
LN-00100,681,Fair (650-699),2020-12-29,0,22000.0,21012.0,TransUnion
LN-00101,586,Poor (<650),2022-11-05,1,139000.0,8370.0,TransUnion
LN-00102,666,Fair (650-699),2019-10-14,0,137000.0,8219.0,TransUnion
LN-00103,672,Fair (650-699),2021-06-15,0,61000.0,21284.0,Equifax
LN-00104,635,Poor (<650),2024-01-15,0,260000.0,21220.0,Experian
LN-00105,687,Fair (650-699),2018-07-21,0,67000.0,25631.0,Experian
LN-00106,732,Good (700-749),2020-08-08,0,255000.0,8311.0,Equifax
LN-00107,850,Excellent (750+),2019-03-29,0,161000.0,12093.0,Equifax
LN-00108,713,Good (700-749),2021-01-04,0,157000.0,22905.0,TransUnion
LN-00109,720,Good (700-749),2023-08-22,0,135000.0,23019.0,Equifax
LN-00110,694,Fair (650-699),2023-08-26,0,160000.0,15694.0,Equifax
LN-00111,550,Poor (<650),2019-08-09,0,192000.0,6972.0,Equifax
LN-00112,697,Fair (650-699),2021-07-12,0,177000.0,11250.0,Experian
LN-00113,704,Good (700-749),2023-04-04,0,65000.0,18178.0,Equifax
LN-00114,850,Excellent (750+),2021-08-29,0,245000.0,26637.0,Experian
LN-00115,579,Poor (<650),2019-08-30,0,209000.0,20496.0,Experian
LN-00116,724,Good (700-749),2023-12-19,0,147000.0,18054.0,TransUnion
LN-00117,697,Fair (650-699),2021-03-07,0,65000.0,16122.0,Experian
LN-00118,606,Poor (<650),2019-10-19,0,244000.0,26747.0,Equifax
LN-00119,791,Excellent (750+),2019-08-11,0,189000.0,16752.0,Equifax
LN-00120,760,Excellent (750+),2020-09-03,0,161000.0,21310.0,TransUnion
LN-00121,763,Excellent (750+),2023-03-14,1,15000.0,4215.0,Experian
LN-00122,627,Poor (<650),2022-09-14,0,99000.0,25211.0,Equifax
LN-00123,812,Excellent (750+),2020-08-01,0,123000.0,6516.0,TransUnion
LN-00124,587,Poor (<650),2022-06-02,0,231000.0,5212.0,Equifax
LN-00125,665,Fair (650-699),2020-07-01,1,213000.0,27798.0,Experian
LN-00126,850,Excellent (750+),2019-06-17,0,21000.0,13621.0,Experian
LN-00127,620,Poor (<650),2021-03-30,0,271000.0,21755.0,Equifax
LN-00128,654,Fair (650-699),2023-11-22,0,18000.0,19280.0,Experian
LN-00129,707,Good (700-749),2021-04-09,0,70000.0,6463.0,TransUnion
LN-00130,659,Fair (650-699),2020-06-27,0,234000.0,5067.0,Equifax
LN-00131,575,Poor (<650),2023-12-26,0,150000.0,12188.0,Equifax
LN-00132,626,Poor (<650),2019-02-28,0,238000.0,19758.0,Equifax
LN-00133,615,Poor (<650),2020-06-11,0,245000.0,21326.0,Equifax
LN-00134,737,Good (700-749),2018-05-11,0,186000.0,27994.0,Equifax
LN-00135,626,Poor (<650),2022-02-18,1,53000.0,16597.0,Equifax
LN-00136,823,Excellent (750+),2022-07-16,0,198000.0,5318.0,Equifax
LN-00137,637,Poor (<650),2022-01-04,0,10000.0,25559.0,TransUnion
LN-00138,674,Fair (650-699),2023-01-28,0,280000.0,18817.0,Experian
LN-00139,765,Excellent (750+),2019-05-03,0,97000.0,6944.0,Equifax
LN-00140,601,Poor (<650),2021-08-30,0,131000.0,21651.0,TransUnion
LN-00141,718,Good (700-749),2019-03-06,0,147000.0,11750.0,Experian
LN-00142,804,Excellent (750+),2018-02-21,0,182000.0,23067.0,Experian
LN-00143,571,Poor (<650),2022-01-05,0,173000.0,9838.0,Equifax
LN-00144,714,Good (700-749),2023-10-15,0,65000.0,3742.0,Equifax
LN-00145,720,Good (700-749),2022-11-22,0,130000.0,12838.0,Experian
LN-00146,762,Excellent (750+),2024-02-14,0,279000.0,7827.0,Equifax
LN-00147,601,Poor (<650),2019-03-15,0,18000.0,6461.0,Equifax
LN-00148,594,Poor (<650),2022-05-26,0,178000.0,5684.0,Experian
LN-00149,680,Fair (650-699),2023-04-20,0,42000.0,11927.0,Equifax
LN-00150,723,Good (700-749),2024-03-06,0,143000.0,16617.0,TransUnion
LN-00151,720,Good (700-749),2022-09-01,0,88000.0,12025.0,Experian
LN-00152,727,Good (700-749),2019-08-30,0,17000.0,4412.0,Experian
LN-00153,645,Poor (<650),2021-01-17,0,186000.0,8281.0,Experian
LN-00154,718,Good (700-749),2024-03-01,0,75000.0,12657.0,Equifax
LN-00155,723,Good (700-749),2021-11-21,0,77000.0,21642.0,Equifax
LN-00156,642,Poor (<650),2018-12-31,0,248000.0,10863.0,Experian
LN-00157,680,Fair (650-699),2021-08-13,0,139000.0,22666.0,TransUnion
LN-00158,737,Good (700-749),2021-01-12,0,256000.0,5735.0,Equifax
LN-00159,604,Poor (<650),2019-03-24,0,67000.0,17095.0,Experian
LN-00160,752,Excellent (750+),2022-05-28,0,155000.0,24774.0,TransUnion
LN-00161,622,Poor (<650),2020-10-27,0,90000.0,15985.0,TransUnion
LN-00162,762,Excellent (750+),2020-07-12,0,7000.0,9625.0,TransUnion
LN-00163,792,Excellent (750+),2018-10-28,0,80000.0,24537.0,Experian
LN-00164,525,Poor (<650),2018-03-06,0,123000.0,25008.0,Equifax
LN-00165,777,Excellent (750+),2022-11-12,0,10000.0,27599.0,TransUnion
LN-00166,642,Poor (<650),2021-10-11,0,12000.0,10697.0,TransUnion
LN-00167,765,Excellent (750+),2021-11-23,0,138000.0,7542.0,TransUnion
LN-00168,850,Excellent (750+),2018-10-21,0,32000.0,21764.0,Experian
LN-00169,680,Fair (650-699),2024-04-20,0,17000.0,10864.0,Experian
LN-00170,639,Poor (<650),2021-05-13,0,147000.0,6867.0,Equifax
LN-00171,628,Poor (<650),2022-01-22,0,185000.0,14849.0,TransUnion
LN-00172,634,Poor (<650),2024-02-26,0,84000.0,19901.0,Equifax
LN-00173,693,Fair (650-699),2019-08-20,0,16000.0,20720.0,Equifax
LN-00174,727,Good (700-749),2018-05-24,0,180000.0,13060.0,Equifax
LN-00175,722,Good (700-749),2021-02-09,0,75000.0,15686.0,TransUnion
LN-00176,766,Excellent (750+),2021-08-25,0,243000.0,20227.0,Equifax
LN-00177,701,Good (700-749),2019-08-22,0,244000.0,23313.0,Experian
LN-00178,816,Excellent (750+),2018-11-17,0,162000.0,6438.0,Experian
LN-00179,678,Fair (650-699),2023-11-17,2,73000.0,26275.0,Experian
LN-00180,850,Excellent (750+),2021-10-17,0,40000.0,10529.0,Equifax
LN-00181,750,Excellent (750+),2019-01-26,0,159000.0,13407.0,Equifax
LN-00182,631,Poor (<650),2019-09-04,1,184000.0,26248.0,Experian
LN-00183,614,Poor (<650),2022-12-09,0,105000.0,23302.0,TransUnion
LN-00184,738,Good (700-749),2020-02-26,0,191000.0,17685.0,Equifax
LN-00185,682,Fair (650-699),2019-10-04,0,139000.0,20231.0,Equifax
LN-00186,757,Excellent (750+),2019-02-08,1,268000.0,16465.0,Equifax
LN-00187,737,Good (700-749),2019-08-07,0,98000.0,10563.0,Experian
LN-00188,694,Fair (650-699),2022-05-25,0,93000.0,20809.0,TransUnion
LN-00189,632,Poor (<650),2021-09-23,2,171000.0,11928.0,Experian
LN-00190,578,Poor (<650),2023-03-29,1,258000.0,15116.0,TransUnion
LN-00191,664,Fair (650-699),2023-11-09,1,172000.0,12175.0,Experian
LN-00192,768,Excellent (750+),2023-01-23,0,91000.0,12208.0,TransUnion
LN-00193,717,Good (700-749),2019-07-29,0,280000.0,7965.0,Experian
LN-00194,600,Poor (<650),2018-11-29,0,140000.0,4796.0,Experian
LN-00195,713,Good (700-749),2018-03-13,1,167000.0,4004.0,TransUnion
LN-00196,730,Good (700-749),2018-09-21,0,72000.0,16826.0,Experian
LN-00197,629,Poor (<650),2024-02-07,0,33000.0,4206.0,Experian
LN-00198,712,Good (700-749),2019-06-21,0,148000.0,18887.0,TransUnion
LN-00199,704,Good (700-749),2021-06-30,0,114000.0,8095.0,Experian
LN-00200,608,Poor (<650),2021-02-18,0,11000.0,13863.0,Experian
LN-00201,728,Good (700-749),2022-06-14,0,39000.0,12711.0,Equifax
LN-00202,744,Good (700-749),2023-10-10,0,141000.0,27102.0,TransUnion
LN-00203,786,Excellent (750+),2024-01-19,0,104000.0,19122.0,Equifax
LN-00204,784,Excellent (750+),2022-09-22,2,226000.0,8227.0,TransUnion
LN-00205,512,Poor (<650),2022-11-08,0,194000.0,21101.0,TransUnion
LN-00206,624,Poor (<650),2018-04-28,0,270000.0,4497.0,TransUnion
LN-00207,741,Good (700-749),2022-03-27,0,260000.0,27187.0,TransUnion
LN-00208,741,Good (700-749),2018-11-04,1,265000.0,21648.0,TransUnion
LN-00209,741,Good (700-749),2020-01-07,0,147000.0,24542.0,TransUnion
LN-00210,850,Excellent (750+),2021-02-24,0,259000.0,25968.0,TransUnion
LN-00211,745,Good (700-749),2022-12-09,1,264000.0,15979.0,TransUnion
LN-00212,790,Excellent (750+),2021-04-27,1,231000.0,26484.0,Experian
LN-00213,776,Excellent (750+),2019-07-06,0,154000.0,9016.0,TransUnion
LN-00214,752,Excellent (750+),2024-02-29,0,140000.0,22818.0,TransUnion
LN-00215,674,Fair (650-699),2022-07-11,0,237000.0,10101.0,Experian
LN-00216,760,Excellent (750+),2021-10-27,0,169000.0,10345.0,TransUnion
LN-00217,638,Poor (<650),2019-05-01,0,78000.0,19582.0,TransUnion
LN-00218,681,Fair (650-699),2023-10-11,0,92000.0,8759.0,Experian
LN-00219,661,Fair (650-699),2021-05-13,2,203000.0,3811.0,Experian
LN-00220,706,Good (700-749),2021-09-30,0,106000.0,10392.0,Experian
LN-00221,850,Excellent (750+),2020-12-09,1,15000.0,7971.0,Equifax
LN-00222,550,Poor (<650),2021-05-14,0,36000.0,21153.0,Equifax
LN-00223,754,Excellent (750+),2023-05-19,0,269000.0,24621.0,Equifax
LN-00224,506,Poor (<650),2021-10-24,0,103000.0,20396.0,Experian
LN-00225,662,Fair (650-699),2019-04-29,0,31000.0,16825.0,TransUnion
LN-00226,678,Fair (650-699),2022-08-12,1,262000.0,5746.0,Equifax
LN-00227,705,Good (700-749),2019-09-26,0,43000.0,10989.0,Experian
LN-00228,500,Poor (<650),2023-01-25,0,6000.0,9801.0,TransUnion
LN-00229,642,Poor (<650),2023-04-03,0,143000.0,4807.0,Equifax
LN-00230,754,Excellent (750+),2022-06-13,1,251000.0,18639.0,Equifax
LN-00231,550,Poor (<650),2022-04-04,0,76000.0,26858.0,TransUnion
LN-00232,717,Good (700-749),2022-05-08,0,116000.0,6922.0,Equifax
LN-00233,703,Good (700-749),2023-07-20,0,64000.0,14357.0,TransUnion
LN-00234,647,Poor (<650),2023-10-04,0,218000.0,14324.0,Experian
LN-00235,850,Excellent (750+),2021-09-19,0,67000.0,8605.0,Equifax
LN-00236,750,Excellent (750+),2019-03-10,0,90000.0,17056.0,Equifax
LN-00237,550,Poor (<650),2024-06-01,0,214000.0,23519.0,Equifax
LN-00238,714,Good (700-749),2022-03-31,0,54000.0,25886.0,Equifax
LN-00239,647,Poor (<650),2021-06-27,0,108000.0,4188.0,Experian
LN-00240,768,Excellent (750+),2018-09-02,0,165000.0,27423.0,Experian
LN-00241,636,Poor (<650),2019-11-17,0,87000.0,5880.0,TransUnion
LN-00242,576,Poor (<650),2020-12-02,0,53000.0,15360.0,TransUnion
LN-00243,668,Fair (650-699),2021-04-12,0,253000.0,18967.0,Equifax
LN-00244,769,Excellent (750+),2020-12-27,0,20000.0,21669.0,Experian
LN-00245,603,Poor (<650),2021-03-02,0,160000.0,26915.0,Equifax
LN-00246,598,Poor (<650),2023-12-27,0,125000.0,18949.0,TransUnion
LN-00247,662,Fair (650-699),2023-11-30,0,189000.0,15841.0,TransUnion
LN-00248,647,Poor (<650),2019-06-23,0,26000.0,7242.0,Equifax
LN-00249,841,Excellent (750+),2021-07-10,0,228000.0,14560.0,TransUnion
LN-00250,643,Poor (<650),2018-05-24,0,182000.0,22842.0,Equifax
LN-00251,599,Poor (<650),2023-06-28,0,245000.0,8670.0,Equifax
LN-00252,773,Excellent (750+),2021-09-08,1,136000.0,8934.0,TransUnion
LN-00253,680,Fair (650-699),2019-09-29,0,52000.0,18015.0,Experian
LN-00254,782,Excellent (750+),2020-02-01,0,21000.0,18568.0,TransUnion
LN-00255,578,Poor (<650),2019-12-30,0,89000.0,10993.0,Experian
LN-00256,661,Fair (650-699),2020-12-16,0,86000.0,9892.0,Experian
LN-00257,801,Excellent (750+),2018-08-18,0,98000.0,6470.0,Equifax
LN-00258,643,Poor (<650),2021-06-18,0,266000.0,12622.0,Equifax
LN-00259,735,Good (700-749),2023-01-08,0,243000.0,16513.0,Experian
LN-00260,761,Excellent (750+),2020-05-19,0,154000.0,5270.0,Equifax
LN-00261,625,Poor (<650),2019-03-16,0,205000.0,16406.0,Experian
LN-00262,695,Fair (650-699),2019-04-14,0,157000.0,7740.0,Equifax
LN-00263,550,Poor (<650),2022-08-15,1,33000.0,9537.0,TransUnion
LN-00264,618,Poor (<650),2020-10-22,0,52000.0,21142.0,TransUnion
LN-00265,679,Fair (650-699),2018-08-07,0,104000.0,3972.0,Equifax
LN-00266,600,Poor (<650),2022-08-27,0,186000.0,4870.0,Equifax
LN-00267,830,Excellent (750+),2023-12-22,0,49000.0,15011.0,Experian
LN-00268,585,Poor (<650),2020-06-18,0,32000.0,5429.0,Equifax
LN-00269,664,Fair (650-699),2020-07-15,0,126000.0,10255.0,Experian
LN-00270,710,Good (700-749),2018-04-14,0,234000.0,12665.0,TransUnion
LN-00271,815,Excellent (750+),2022-12-24,2,126000.0,26705.0,TransUnion
LN-00272,511,Poor (<650),2018-08-13,0,98000.0,27613.0,TransUnion
LN-00273,793,Excellent (750+),2021-07-16,0,128000.0,5714.0,Experian
LN-00274,700,Good (700-749),2019-11-19,0,121000.0,26326.0,Experian
LN-00275,621,Poor (<650),2022-03-25,0,260000.0,22872.0,Equifax
LN-00276,736,Good (700-749),2023-12-20,0,47000.0,22325.0,Experian
LN-00277,659,Fair (650-699),2022-08-24,0,31000.0,26488.0,Equifax
LN-00278,651,Fair (650-699),2023-01-05,0,40000.0,27088.0,TransUnion
LN-00279,705,Good (700-749),2018-05-26,0,265000.0,17324.0,TransUnion
LN-00280,669,Fair (650-699),2021-09-08,0,83000.0,10620.0,Equifax
LN-00281,709,Good (700-749),2023-04-22,0,220000.0,10068.0,Equifax
LN-00282,752,Excellent (750+),2023-12-19,0,205000.0,16184.0,Equifax
LN-00283,826,Excellent (750+),2023-03-11,0,80000.0,7408.0,Experian
LN-00284,600,Poor (<650),2019-07-26,0,34000.0,18526.0,Equifax
LN-00285,850,Excellent (750+),2020-09-06,0,168000.0,22943.0,Experian
LN-00286,550,Poor (<650),2019-11-04,0,196000.0,9041.0,Equifax
LN-00287,687,Fair (650-699),2024-01-06,1,11000.0,24237.0,TransUnion
LN-00288,747,Good (700-749),2018-06-27,0,26000.0,14468.0,Experian
LN-00289,722,Good (700-749),2023-01-13,0,192000.0,13846.0,Experian
LN-00290,650,Fair (650-699),2018-03-01,0,93000.0,15067.0,TransUnion
LN-00291,566,Poor (<650),2019-12-16,0,228000.0,16897.0,Experian
LN-00292,595,Poor (<650),2021-11-22,0,54000.0,8432.0,TransUnion
LN-00293,652,Fair (650-699),2020-06-26,0,147000.0,14969.0,Experian
LN-00294,767,Excellent (750+),2018-08-10,0,242000.0,26724.0,Experian
LN-00295,728,Good (700-749),2018-12-28,0,106000.0,3944.0,TransUnion
LN-00296,644,Poor (<650),2020-12-21,0,30000.0,16809.0,TransUnion
LN-00297,771,Excellent (750+),2021-07-03,0,192000.0,22334.0,Experian
LN-00298,724,Good (700-749),2018-10-19,0,80000.0,27713.0,TransUnion
LN-00299,765,Excellent (750+),2019-07-11,0,74000.0,25437.0,Experian
LN-00300,750,Excellent (750+),2021-10-06,0,186000.0,20548.0,Experian
LN-00301,543,Poor (<650),2023-06-17,0,58000.0,27700.0,Equifax
LN-00302,655,Fair (650-699),2021-03-25,0,56000.0,12932.0,Equifax
LN-00303,759,Excellent (750+),2022-04-19,0,190000.0,17901.0,Experian
LN-00304,748,Good (700-749),2019-02-02,0,65000.0,25482.0,TransUnion
LN-00305,698,Fair (650-699),2018-12-08,0,133000.0,4613.0,Experian
LN-00306,709,Good (700-749),2022-07-29,2,101000.0,18828.0,Equifax
LN-00307,802,Excellent (750+),2019-10-27,0,178000.0,5019.0,Equifax
LN-00308,652,Fair (650-699),2022-10-24,0,227000.0,16633.0,TransUnion
LN-00309,743,Good (700-749),2023-07-11,0,153000.0,25604.0,TransUnion
LN-00310,574,Poor (<650),2022-03-18,1,19000.0,3564.0,Experian
LN-00311,682,Fair (650-699),2019-06-13,1,208000.0,13851.0,TransUnion
LN-00312,787,Excellent (750+),2023-06-23,0,220000.0,17412.0,TransUnion
LN-00313,671,Fair (650-699),2024-04-15,0,51000.0,24504.0,TransUnion
LN-00314,765,Excellent (750+),2020-04-13,0,104000.0,7941.0,Experian
LN-00315,804,Excellent (750+),2023-07-28,0,42000.0,27293.0,Experian
LN-00316,701,Good (700-749),2018-10-11,0,272000.0,25074.0,TransUnion
LN-00317,754,Excellent (750+),2022-09-03,0,164000.0,8740.0,Equifax
LN-00318,675,Fair (650-699),2020-09-29,0,188000.0,15080.0,Experian
LN-00319,725,Good (700-749),2022-06-07,2,232000.0,25505.0,TransUnion
LN-00320,689,Fair (650-699),2023-09-27,0,6000.0,13316.0,Equifax
LN-00321,707,Good (700-749),2023-07-18,0,39000.0,14332.0,Equifax
LN-00322,747,Good (700-749),2019-07-20,1,195000.0,15459.0,TransUnion
LN-00323,634,Poor (<650),2023-01-12,0,203000.0,22239.0,TransUnion
LN-00324,850,Excellent (750+),2019-10-27,0,266000.0,27048.0,Experian
LN-00325,619,Poor (<650),2023-02-07,0,220000.0,4218.0,Experian
LN-00326,602,Poor (<650),2020-02-27,0,51000.0,21366.0,TransUnion
LN-00327,680,Fair (650-699),2018-09-01,0,160000.0,24696.0,Experian
LN-00328,763,Excellent (750+),2023-06-21,0,264000.0,14288.0,Equifax
LN-00329,680,Fair (650-699),2023-02-02,0,251000.0,10854.0,Equifax
LN-00330,750,Excellent (750+),2021-05-20,0,29000.0,26125.0,Equifax
LN-00331,699,Fair (650-699),2022-03-26,0,228000.0,5819.0,Equifax
LN-00332,628,Poor (<650),2024-03-03,0,240000.0,23513.0,Equifax
LN-00333,706,Good (700-749),2021-12-16,0,206000.0,23662.0,TransUnion
LN-00334,645,Poor (<650),2023-06-21,0,142000.0,22939.0,TransUnion
LN-00335,778,Excellent (750+),2020-06-09,0,242000.0,24423.0,TransUnion
LN-00336,688,Fair (650-699),2023-07-14,0,82000.0,4219.0,Experian
LN-00337,633,Poor (<650),2024-01-20,0,154000.0,16993.0,Equifax
LN-00338,674,Fair (650-699),2020-10-02,1,210000.0,11026.0,Equifax
LN-00339,733,Good (700-749),2019-04-02,0,141000.0,12274.0,TransUnion
LN-00340,654,Fair (650-699),2022-09-26,0,114000.0,12535.0,TransUnion
LN-00341,634,Poor (<650),2023-12-11,0,141000.0,15903.0,TransUnion
LN-00342,719,Good (700-749),2018-12-28,0,119000.0,14264.0,TransUnion
LN-00343,719,Good (700-749),2020-10-08,0,52000.0,16662.0,Experian
LN-00344,659,Fair (650-699),2024-06-11,0,7000.0,13485.0,Experian
LN-00345,662,Fair (650-699),2022-06-30,1,279000.0,21587.0,Experian
LN-00346,718,Good (700-749),2019-01-01,0,105000.0,23546.0,TransUnion
LN-00347,584,Poor (<650),2022-10-10,1,271000.0,13477.0,Equifax
LN-00348,587,Poor (<650),2024-04-26,0,12000.0,5220.0,TransUnion
LN-00349,642,Poor (<650),2018-02-28,0,48000.0,19102.0,TransUnion
LN-00350,618,Poor (<650),2019-06-01,0,195000.0,4793.0,Experian
LN-00351,724,Good (700-749),2019-10-28,0,11000.0,26475.0,Experian
